Año,Región,PBI
2001,Resto de regiones de Amazonía,84.37495862
2002,Resto de regiones de Amazonía,87.55287395
2003,Resto de regiones de Amazonía,88.46648118
2004,Resto de regiones de Amazonía,92.02199357
2005,Resto de regiones de Amazonía,96.11869175
2006,Resto de regiones de Amazonía,100
2007,Resto de regiones de Amazonía,104.1581884
2008,Resto de regiones de Amazonía,109.174144
2009,Resto de regiones de Amazonía,110.9027772
2010,Resto de regiones de Amazonía,117.3617952
2011,Resto de regiones de Amazonía,117.8613217
2012,Resto de regiones de Amazonía,122.0250957
2013,Resto de regiones de Amazonía,126.6238258
2014,Resto de regiones de Amazonía,126.1015928
2015,Resto de regiones de Amazonía,127.291477
2016,Resto de regiones de Amazonía,120.68111
2017,Resto de regiones de Amazonía,121.9471828
2018,Resto de regiones de Amazonía,126.316311
2019,Resto de regiones de Amazonía,127.2984116
2020,Resto de regiones de Amazonía,108.6564504
2021,Resto de regiones de Amazonía,117.5829062
2022,Resto de regiones de Amazonía,119.46369
2001,San Martín,81.83564651
2002,San Martín,83.17101902
2003,San Martín,84.58181794
2004,San Martín,90.1599664
2005,San Martín,96.64530253
2006,San Martín,100
2007,San Martín,107.2538306
2008,San Martín,117.0438084
2009,San Martín,120.5089955
2010,San Martín,128.6579119
2011,San Martín,134.0307918
2012,San Martín,148.5780642
2013,San Martín,149.4143341
2014,San Martín,158.234863
2015,San Martín,164.8665653
2016,San Martín,165.6205296
2017,San Martín,172.6551938
2018,San Martín,172.4696334
2019,San Martín,169.57771
2020,San Martín,160.6884489
2021,San Martín,170.4088072
2022,San Martín,169.8427024
