Región,Empleo en Agro (%),Productividad laboral agropecuaria
Amazonas,51.81214637,19789.36581
Áncash,37.82079547,7171.59726
Apurímac,58.12896362,9058.524672
Arequipa,14.10829018,35118.19284
Ayacucho,47.28621651,10908.59768
Cajamarca,50.86213703,7615.761995
Cusco,42.80572142,7281.028137
Huancavelica,61.17936286,4227.424432
Huánuco,53.08936829,11322.26104
Ica,20.22005371,46088.95679
Junín,37.57397636,12616.83523
La Libertad,23.86185827,29991.35268
Lambayeque,21.43405727,17863.9915
Lima Metropolitana,0.965229868,26405.06143
Lima prov.,31.52808607,42712.76688
Loreto,24.97682127,9378.70028
Madre de Dios,21.57503778,18926.61963
Moquegua,19.44103058,12198.60833
Pasco,43.8392385,15515.92537
Piura,27.86497708,17400.28326
Puno,37.94588137,15818.25523
San Martín,49.75982194,13582.89909
Tacna,15.82333198,29235.19203
Tumbes,10.52650234,31084.18075
Ucayali,23.24146276,22841.7597
