Tipo,Municipalidad,Avance,PIM
D,MEGANTONI,50.74698506,356463888
P,ESPINAR,68.30521278,194140117
D,PICHARI,71.78993592,161559789
D,QUIMBIRI,63.76307272,147551520
D,ECHARATI,82.62203754,140029368
D,QUELLOUNO,82.2076958,117672190
D,VILCABAMBA,70.1742761,82242775
D,UNION ASHANINKA,54.57566206,80265390
D,KUMPIRUSHIATO,74.96882675,76725225
P,LA CONVENCION - SANTA ANA,74.38460648,73457103
D,SANTIAGO,52.61162333,65121891
P,CANCHIS - SICUANI,75.23137494,64938752
D,SAN SEBASTIAN,78.28914194,58222457
D,MANITEA,68.68944473,45921169
D,OCONGATE,93.04352385,45265116
D,SAN JERONIMO,87.15720166,42728219
D,CCATCA,74.42667284,42638046
D,LIVITACA,84.97231706,41600891
P,CHUMBIVILCAS - SANTO TOMAS,80.84261881,38819570
P,CUZCO,74.81557579,38220985
D,VILLA KINTIARINA,67.42373741,37036081
P,PAUCARTAMBO,67.81958045,36198428
D,OCOBAMBA,58.3395104,35042279
D,SANTA TERESA,90.94969967,34326894
D,COPORAQUE,92.43957491,33681995
P,CALCA,78.17210385,33041352
D,PALLPATA,78.32079098,32373778
D,VILLA VIRGEN,59.95280999,30347525
D,QUIQUIJANA,97.74233058,30285169
P,ANTA,95.10798275,29972380
D,CIELO PUNCO,85.31445154,27478177
D,LARES,90.63712481,27439349
D,CHALLABAMBA,86.42098445,27007083
D,OLLANTAYTAMBO,82.23951958,25743566
D,HUAYOPATA,93.10262147,25428081
D,KOSÑIPATA,73.95983574,22773182
D,INKAWASI,78.76836355,21688413
D,MARCAPATA,68.01955664,21574876
D,COLQUEPATA,92.89361308,20113667
D,MARANURA,75.84692754,18669956
P,QUISPICANCHIS - URCOS,75.58201988,18104794
D,PITUMARCA,81.60821718,17303260
D,CHAMACA,96.10300761,17204165
D,PISAC,86.63714641,17091993
P,URUBAMBA,67.08486526,16247544
D,COLQUEMARCA,88.8372886,16229668
D,CAICAY,44.966576,16116415
P,CANAS - YANAOCA,91.44249408,16072884
D,HUANCARANI,86.47007638,15711153
D,POROY,83.1589644,15584867
D,VELILLE,72.16737312,15339763
D,CHECCA,83.8424599,15158706
D,MARAS,90.63842315,15132205
D,OMACHA,89.98408895,15040489
D,YANATILE,98.37174408,13877671
D,TARAY,45.93985699,13643214
D,OROPESA,97.86633049,13003654
D,LIMATAMBO,90.1801973,12862845
D,QUIÑOTA,81.50239022,12505140
D,ANCAHUASI,79.15979728,12442878
D,SAN SALVADOR,83.21005084,12440669
D,CUSIPATA,66.70913742,12224099
D,ANDAHUAYLILLAS,84.23656742,12193074
D,POMACANCHI,95.74177704,12171110
D,SAYLLA,78.07713302,11913419
D,LLUSCO,95.15028424,11701593
D,CHINCHAYPUJIO,91.14590782,11557989
D,LAYO,95.82644847,11378822
D,MARANGANI,89.26850789,11174625
D,PICHIGUA,80.68647843,10881449
D,HUANOQUITE,96.00383702,10515462
D,HUAROCONDO,78.61811215,10211147
D,WANCHAQ,48.46397195,10076704
D,CCARHUAYO,89.46284352,10047910
D,HUARO,93.14943918,9870243
D,LAMAY,80.60554477,9668253
D,CONDOROMA,75.55085289,9608736
D,KUNTURKANKI,92.18346853,8885949
D,LUCRE,92.20514342,8643982
D,ALTO PICHIGUA,93.77944419,8150590
D,SUYCKUTAMBO,95.36687943,8087875
D,SANGARARA,81.97897906,7504708
D,CHINCHERO,90.76012583,7406800
D,OCORURO,88.55105456,7304402
D,CHECACUPE,88.82406802,7209269
D,MACHUPICCHU,81.56750772,6840936
D,TINTA,82.42768442,6095298
D,COMBAPATA,89.65599729,6074022
D,COYA,94.02910425,5922227
D,QUEHUE,93.3145514,5909581
D,PUCYURA,95.37852174,5801001
D,CAMANTI,93.72256447,5666693
D,CAPACMARCA,78.70125989,5654865
P,ACOMAYO,83.7971253,5516410
D,HUAYLLABAMBA,92.7481543,5010421
D,CCAPI,82.4761476,4962499
D,ZURITE,91.87905425,4895021
D,SAN PABLO,63.3067708,4835884
D,ACOPIA,77.81056469,4644129
D,PACCARITAMBO,67.79062885,4377757
D,MOLLEPATA,92.9904554,3840706
D,ACOS,89.29680795,3781115
D,ACCHA,91.02060021,3719380
D,LANGUI,94.27234208,3714101
D,MOSOC LLACTA,73.27505517,3648479
D,CCORCCA,83.83565181,3408130
D,YUCAY,94.26546964,3309094
D,YAURISQUE,78.0561168,3288356
P,PARURO,93.37437634,3041525
D,TUPAC AMARU,61.27624629,2915221
D,CACHIMAYO,96.03065818,2485601
D,PAMPAMARCA,81.79739289,2377577
D,SAN PEDRO,91.35242738,2365554
D,RONDOCAN,90.36594606,2192099
D,PILLPINTO,97.37106884,1099230
D,COLCHA,97.12054484,774973
