Fecha,Tipo,Visitantes
2017-01-01,Extranjero,78711
2017-02-01,Extranjero,59561
2017-03-01,Extranjero,73100
2017-04-01,Extranjero,90879
2017-05-01,Extranjero,98759
2017-06-01,Extranjero,94914
2017-07-01,Extranjero,113817
2017-08-01,Extranjero,111229
2017-09-01,Extranjero,98484
2017-10-01,Extranjero,98022
2017-11-01,Extranjero,82918
2017-12-01,Extranjero,70290
2018-01-01,Extranjero,84898
2018-02-01,Extranjero,63051
2018-03-01,Extranjero,93276
2018-04-01,Extranjero,102112
2018-05-01,Extranjero,119363
2018-06-01,Extranjero,108128
2018-07-01,Extranjero,130567
2018-08-01,Extranjero,127338
2018-09-01,Extranjero,118044
2018-10-01,Extranjero,109374
2018-11-01,Extranjero,92562
2018-12-01,Extranjero,75698
2019-01-01,Extranjero,74382
2019-02-01,Extranjero,58008
2019-03-01,Extranjero,89687
2019-04-01,Extranjero,119482
2019-05-01,Extranjero,118692
2019-06-01,Extranjero,108312
2019-07-01,Extranjero,131500
2019-08-01,Extranjero,122868
2019-09-01,Extranjero,115758
2019-10-01,Extranjero,110793
2019-11-01,Extranjero,91157
2019-12-01,Extranjero,74982
2020-01-01,Extranjero,78640
2020-02-01,Extranjero,57702
2020-03-01,Extranjero,30572
2020-04-01,Extranjero,0
2020-05-01,Extranjero,0
2020-06-01,Extranjero,0
2020-07-01,Extranjero,0
2020-08-01,Extranjero,0
2020-09-01,Extranjero,0
2020-10-01,Extranjero,0
2020-11-01,Extranjero,2099
2020-12-01,Extranjero,3772
2021-01-01,Extranjero,2521
2021-02-01,Extranjero,0
2021-03-01,Extranjero,1496
2021-04-01,Extranjero,2923
2021-05-01,Extranjero,5960
2021-06-01,Extranjero,9632
2021-07-01,Extranjero,13178
2021-08-01,Extranjero,15120
2021-09-01,Extranjero,20843
2021-10-01,Extranjero,24919
2021-11-01,Extranjero,30927
2021-12-01,Extranjero,27988
2022-01-01,Extranjero,21018
2022-02-01,Extranjero,16473
2022-03-01,Extranjero,37500
2022-04-01,Extranjero,60582
2022-05-01,Extranjero,72349
2022-06-01,Extranjero,77097
2022-07-01,Extranjero,84374
2022-08-01,Extranjero,87089
2022-09-01,Extranjero,83322
2022-10-01,Extranjero,79546
2022-11-01,Extranjero,67521
2022-12-01,Extranjero,25279
2023-01-01,Extranjero,11880
2023-02-01,Extranjero,5033
2023-03-01,Extranjero,23909
2023-04-01,Extranjero,50970
2023-05-01,Extranjero,60726
2023-06-01,Extranjero,63819
2023-07-01,Extranjero,77083
2023-08-01,Extranjero,74523
2023-09-01,Extranjero,79715
2017-01-01,Nacional,36992
2017-02-01,Nacional,25479
2017-03-01,Nacional,18670
2017-04-01,Nacional,18765
2017-05-01,Nacional,18877
2017-06-01,Nacional,21332
2017-07-01,Nacional,34318
2017-08-01,Nacional,44054
2017-09-01,Nacional,29070
2017-10-01,Nacional,39445
2017-11-01,Nacional,30364
