Año,NSE,kg. anuales por persona
2018,A,10.27304
2019,A,9.842605
2020,A,9.689631
2021,A,9.089331
2022,A,10.26678
2023,A,10.37522
2018,B,9.419025
2019,B,10.20468
2020,B,9.207758
2021,B,7.455287
2022,B,8.16136
2023,B,7.59076
2018,"C, D y E",7.151107
2019,"C, D y E",7.085789
2020,"C, D y E",6.531808
2021,"C, D y E",6.693469
2022,"C, D y E",6.315894
2023,"C, D y E",6.073274
2018,Rural,6.742451
2019,Rural,7.183999
2020,Rural,7.506341
2021,Rural,7.853905
2022,Rural,6.919117
2023,Rural,6.29041
