Programa,Condición de pobreza,Población,,,
Comedor popular (200 mil),Pobreza extremo,8465.9,,,
Vaso de Leche (90 mil),Pobreza extremo,955.1,,,
Olla común (55 mil),Pobreza extremo,"1,978",,,
Comedor popular (200 mil),Pobre no extremo,56286.0,,,
Vaso de Leche (90 mil),Pobre no extremo,38474.9,,,
Olla común (55 mil),Pobre no extremo,"25,687",,,
Comedor popular (200 mil),Vulnerable,80302.8,,,
Vaso de Leche (90 mil),Vulnerable,30036.8,,,
Olla común (55 mil),Vulnerable,"15,563",,,
Comedor popular (200 mil),No vulnerable,55737.9,,,
Vaso de Leche (90 mil),No vulnerable,21704.8,,,
Olla común (55 mil),No vulnerable,"11,253",,,
