Región,Variación del Empleo
Amazonas,-1.712328767
Áncash,1.194310252
Apurímac,0.825825826
Arequipa,-5.023721323
Ayacucho,0.588400112
Cajamarca,-2.67141585
Cusco,-5.002113569
Huancavelica,-3.836633663
Huánuco,2.065351418
Ica,1.172263064
Junín,-0.322414238
La Libertad,2.594227504
Lambayeque,-6.846214779
Lima,3.718280545
Loreto,-4.623847755
Madre de Dios,1.304121022
Moquegua,-1.430976431
Pasco,-1.158748552
Piura,-1.168981481
Puno,-11.15740741
San Martín,0.739726027
Tacna,-0.520183104
Tumbes,6.571815718
Ucayali,-1.783240997
