Trimestre,Área,Tipo,Valor
1/1/22,Total,Crecimiento,7.272247518
4/1/22,Total,Crecimiento,5.879373931
7/1/22,Total,Crecimiento,3.76767754
10/1/22,Total,Crecimiento,0.660398287
1/1/23,Total,Crecimiento,-0.319638446
4/1/23,Total,Crecimiento,-0.933385284
7/1/23,Total,Crecimiento,-0.903017738
1/1/22,Urbano,Contribución,7.849069108
4/1/22,Urbano,Contribución,6.238642525
7/1/22,Urbano,Contribución,4.698709385
10/1/22,Urbano,Contribución,1.447074282
1/1/23,Urbano,Contribución,0.545024529
4/1/23,Urbano,Contribución,-0.071049586
7/1/23,Urbano,Contribución,0.29140751
1/1/22,Rural,Contribución,-0.57743523
4/1/22,Rural,Contribución,-0.359864395
7/1/22,Rural,Contribución,-0.931031845
10/1/22,Rural,Contribución,-0.786675995
1/1/23,Rural,Contribución,-0.864662975
4/1/23,Rural,Contribución,-0.863481659
7/1/23,Rural,Contribución,-1.194425248
