Año,Variable,Valor
2001,Empleo,11862.24404
2002,Empleo,12034.14389
2003,Empleo,12836.74544
2004,Empleo,13059.8
2005,Empleo,13120.4
2006,Empleo,13683
2007,Empleo,14197.9
2008,Empleo,14459.6
2009,Empleo,14762.4
2010,Empleo,15092.5
2011,Empleo,15307.4
2012,Empleo,15542.7
2013,Empleo,15682.9
2014,Empleo,15796.8
2015,Empleo,15919.2
2016,Empleo,16197.1
2017,Empleo,16511
2018,Empleo,16776.5
2019,Empleo,17133.1
2020,Empleo,14901.8
2021,Empleo,17120.1
2022,Empleo,17756.4
2023,Empleo,17642.95094
2024,Empleo,17868.19743
2001,Crecimiento del empleo,
2002,Crecimiento del empleo,1.449134301
2003,Crecimiento del empleo,6.669369713
2004,Crecimiento del empleo,1.737625485
2005,Crecimiento del empleo,0.464019357
2006,Crecimiento del empleo,4.287979025
2007,Crecimiento del empleo,3.763063656
2008,Crecimiento del empleo,1.843230337
2009,Crecimiento del empleo,2.094110487
2010,Crecimiento del empleo,2.236086273
2011,Crecimiento del empleo,1.423886036
2012,Crecimiento del empleo,1.537165031
2013,Crecimiento del empleo,0.902031179
2014,Crecimiento del empleo,0.726268739
2015,Crecimiento del empleo,0.774840474
2016,Crecimiento del empleo,1.745690738
2017,Crecimiento del empleo,1.938001247
2018,Crecimiento del empleo,1.608018896
2019,Crecimiento del empleo,2.125592346
2020,Crecimiento del empleo,-13.02332911
2021,Crecimiento del empleo,14.88612114
2022,Crecimiento del empleo,3.716683898
2023,Crecimiento del empleo,-0.653877073
2024,Crecimiento del empleo,1.292136416
