Año,Región,Valor
2015,Madre de Dios,7.5
2016,Madre de Dios,10.4
2017,Madre de Dios,9.3
2018,Madre de Dios,12.5
2019,Madre de Dios,24.1
2020,Madre de Dios,33.6
2021,Madre de Dios,38.6
2015,Lima Metropolitana,8.8
2016,Lima Metropolitana,11.0
2017,Lima Metropolitana,11.9
2018,Lima Metropolitana,11.6
2019,Lima Metropolitana,15.7
2020,Lima Metropolitana,16.5
2021,Lima Metropolitana,16.0
2015,Resto del Perú,8.1
2016,Resto del Perú,8.5
2017,Resto del Perú,8.4
2018,Resto del Perú,8.1
2019,Resto del Perú,10.4
2020,Resto del Perú,12.2
2021,Resto del Perú,12.3
