Trimestre,Zona,Tipo,Valor
2022-01-01,Total,Crecimiento,6.46960805
2022-04-01,Total,Crecimiento,6.575064598
2022-07-01,Total,Crecimiento,5.542962236
2022-10-01,Total,Crecimiento,3.586839028
2023-01-01,Total,Crecimiento,1.332385002
2023-04-01,Total,Crecimiento,-7.890869485
2023-07-01,Total,Crecimiento,-6.368613575
2023-10-01,Total,Crecimiento,-11.93792357
2022-01-01,Norte,Contribución,2.146014927
2022-04-01,Norte,Contribución,1.224888762
2022-07-01,Norte,Contribución,3.905820003
2022-10-01,Norte,Contribución,4.360875638
2023-01-01,Norte,Contribución,2.638641159
2023-04-01,Norte,Contribución,-0.733586545
2023-07-01,Norte,Contribución,-9.330620739
2023-10-01,Norte,Contribución,-10.12195329
2022-01-01,Centro,Contribución,1.245265771
2022-04-01,Centro,Contribución,0.51207195
2022-07-01,Centro,Contribución,-0.887340208
2022-10-01,Centro,Contribución,-0.932497538
2023-01-01,Centro,Contribución,-1.303393452
2023-04-01,Centro,Contribución,-0.694786502
2023-07-01,Centro,Contribución,2.078592322
2023-10-01,Centro,Contribución,-1.128806765
2022-01-01,Sur,Contribución,1.896471894
2022-04-01,Sur,Contribución,4.97753096
2022-07-01,Sur,Contribución,2.022304212
2022-10-01,Sur,Contribución,0.351657683
2023-01-01,Sur,Contribución,-0.57065302
2023-04-01,Sur,Contribución,-6.586855655
2023-07-01,Sur,Contribución,-0.185575838
2023-10-01,Sur,Contribución,-0.546505821
2022-01-01,Oriente,Contribución,1.181855458
2022-04-01,Oriente,Contribución,-0.139427075
2022-07-01,Oriente,Contribución,0.50217823
2022-10-01,Oriente,Contribución,-0.193196755
2023-01-01,Oriente,Contribución,0.567790315
2023-04-01,Oriente,Contribución,0.124359218
2023-07-01,Oriente,Contribución,1.06899068
2023-10-01,Oriente,Contribución,0.055961389
