Trimestre,Tipo,Valor
2022-01-01,Crece a un dígito,4
2022-04-01,Crece a un dígito,4
2022-07-01,Crece a un dígito,3
2022-10-01,Crece a un dígito,5
2023-01-01,Crece a un dígito,3
2023-04-01,Crece a un dígito,4
2023-07-01,Crece a un dígito,4
2022-01-01,Crece a dos dígitos,7
2022-04-01,Crece a dos dígitos,9
2022-07-01,Crece a dos dígitos,9
2022-10-01,Crece a dos dígitos,10
2023-01-01,Crece a dos dígitos,0
2023-04-01,Crece a dos dígitos,5
2023-07-01,Crece a dos dígitos,0
2022-01-01,Cae a un dígito,-6
2022-04-01,Cae a un dígito,-4
2022-07-01,Cae a un dígito,-6
2022-10-01,Cae a un dígito,-6
2023-01-01,Cae a un dígito,-6
2023-04-01,Cae a un dígito,-7
2023-07-01,Cae a un dígito,-8
2022-01-01,Cae a dos dígitos,-7
2022-04-01,Cae a dos dígitos,-7
2022-07-01,Cae a dos dígitos,-6
2022-10-01,Cae a dos dígitos,-3
2023-01-01,Cae a dos dígitos,-15
2023-04-01,Cae a dos dígitos,-8
2023-07-01,Cae a dos dígitos,-12
