Región,Año,Valor
Amazonas,2019,100.00000000
Áncash,2019,100.00000000
Apurímac,2019,100.00000000
Arequipa,2019,100.00000000
Ayacucho,2019,100.00000000
Cajamarca,2019,100.00000000
Cusco,2019,100.00000000
Huancavelica,2019,100.00000000
Huánuco,2019,100.00000000
Ica,2019,100.00000000
Junín,2019,100.00000000
La Libertad,2019,100.00000000
Lambayeque,2019,100.00000000
Lima,2019,100.00000000
Loreto,2019,100.00000000
Madre de Dios,2019,100.00000000
Moquegua,2019,100.00000000
Pasco,2019,100.00000000
Piura,2019,100.00000000
Puno,2019,100.00000000
San Martín,2019,100.00000000
Tacna,2019,100.00000000
Tumbes,2019,100.00000000
Ucayali,2019,100.00000000
Perú,2019,100.00000000
Amazonas,2020,95.08481594
Áncash,2020,92.69319146
Apurímac,2020,89.54220423
Arequipa,2020,82.50824214
Ayacucho,2020,87.18275489
Cajamarca,2020,89.50695016
Cusco,2020,86.74457271
Huancavelica,2020,94.62360298
Huánuco,2020,89.48338402
Ica,2020,86.19864250
Junín,2020,89.71808844
La Libertad,2020,92.10921945
Lambayeque,2020,92.42024922
Lima,2020,86.41149320
Loreto,2020,85.14851944
Madre de Dios,2020,73.14159046
Moquegua,2020,100.43283921
Pasco,2020,81.50162621
Piura,2020,89.16931078
Puno,2020,88.99101635
San Martín,2020,94.67647743
Tacna,2020,95.28119383
Tumbes,2020,84.68938822
Ucayali,2020,84.92638305
Perú,2020,87.69751149
Amazonas,2021,97.68976805
Áncash,2021,105.43869255
Apurímac,2021,91.73825756
Arequipa,2021,91.61606680
Ayacucho,2021,97.18748072
Cajamarca,2021,99.73700124
Cusco,2021,91.57064870
Huancavelica,2021,102.82137361
Huánuco,2021,98.42425102
Ica,2021,105.61477774
Junín,2021,102.70359734
La Libertad,2021,100.63962639
Lambayeque,2021,105.42561567
Lima,2021,97.10945323
Loreto,2021,93.48867186
Madre de Dios,2021,77.20244570
Moquegua,2021,106.16609485
Pasco,2021,97.61394421
Piura,2021,98.17358534
Puno,2021,99.65211642
San Martín,2021,100.32531454
Tacna,2021,97.75867475
Tumbes,2021,90.97640767
Ucayali,2021,94.45647239
Perú,2021,98.17292834
Amazonas,2022,95.74066283
Áncash,2022,106.19792861
Apurímac,2022,85.51850390
Arequipa,2022,94.47206939
Ayacucho,2022,100.11218235
Cajamarca,2022,103.55073509
Cusco,2022,94.98048751
Huancavelica,2022,103.87008526
Huánuco,2022,102.44954377
Ica,2022,108.61752098
Junín,2022,104.71324017
La Libertad,2022,100.73759131
Lambayeque,2022,106.53957942
Lima,2022,97.92250763
Loreto,2022,97.62563975
Madre de Dios,2022,75.75508501
Moquegua,2022,117.44937819
Pasco,2022,99.92520012
Piura,2022,96.55736091
Puno,2022,103.71547689
San Martín,2022,99.74232717
Tacna,2022,91.52228304
Tumbes,2022,95.59147340
Ucayali,2022,94.99090762
Perú,2022,99.71569397
Amazonas,2023,95.72106853
Áncash,2023,102.09924320
Apurímac,2023,90.79461388
Arequipa,2023,92.87525188
Ayacucho,2023,98.76287456
Cajamarca,2023,102.67063160
Cusco,2023,95.89208118
Huancavelica,2023,104.99929585
Huánuco,2023,106.53030630
Ica,2023,106.97840816
Junín,2023,102.27023736
La Libertad,2023,98.11427408
Lambayeque,2023,100.68529912
Lima,2023,95.32048882
Loreto,2023,97.23985675
Madre de Dios,2023,72.87330949
Moquegua,2023,146.07811377
Pasco,2023,101.26506814
Piura,2023,98.99647464
Puno,2023,97.23356270
San Martín,2023,99.96116265
Tacna,2023,88.75015459
Tumbes,2023,89.87391624
Ucayali,2023,91.60238736
Perú,2023,98.43385044
