Trimestre,Región,Crecimiento
2017-01-01,Amazonas,1.464128843
2017-04-01,Amazonas,4.276508494
2017-07-01,Amazonas,9.460278957
2017-10-01,Amazonas,6.623376623
2018-01-01,Amazonas,4.184704185
2018-04-01,Amazonas,4.887640449
2018-07-01,Amazonas,7.091412742
2018-10-01,Amazonas,7.673568819
2019-01-01,Amazonas,5.609418283
2019-04-01,Amazonas,4.07070166
2019-07-01,Amazonas,-0.827728919
2019-10-01,Amazonas,-1.527149321
2020-01-01,Amazonas,2.62295082
2020-04-01,Amazonas,-16.05764282
2020-07-01,Amazonas,-7.407407407
2020-10-01,Amazonas,5.858701895
2021-01-01,Amazonas,0.191693291
2021-04-01,Amazonas,19.19068056
2021-07-01,Amazonas,2.084507042
2021-10-01,Amazonas,-7.704829083
2022-01-01,Amazonas,0.06377551
2022-04-01,Amazonas,-1.851851852
2022-07-01,Amazonas,-2.207505519
2022-10-01,Amazonas,-1.352145797
2023-01-01,Amazonas,-2.103250478
2023-04-01,Amazonas,6.132075472
2023-07-01,Amazonas,-4.401805869
2017-01-01,Áncash,-1.699463327
2017-04-01,Áncash,12.12374582
2017-07-01,Áncash,5.506993007
2017-10-01,Áncash,4.390243902
2018-01-01,Áncash,13.64877161
2018-04-01,Áncash,5.070842655
2018-07-01,Áncash,3.811101906
2018-10-01,Áncash,7.320872274
2019-01-01,Áncash,-4.323458767
2019-04-01,Áncash,-4.826117814
2019-07-01,Áncash,-0.957701516
2019-10-01,Áncash,-2.322206096
2020-01-01,Áncash,3.179916318
2020-04-01,Áncash,-34.82475764
2020-07-01,Áncash,-3.787268332
2020-10-01,Áncash,10.92124814
2021-01-01,Áncash,5.758313058
2021-04-01,Áncash,64.3020595
2021-07-01,Áncash,8.040201005
2021-10-01,Áncash,-2.746148694
2022-01-01,Áncash,0.843558282
2022-04-01,Áncash,1.810584958
2022-07-01,Áncash,6.124031008
2022-10-01,Áncash,1.446280992
2023-01-01,Áncash,-6.311787072
2023-04-01,Áncash,-3.89876881
2023-07-01,Áncash,-4.163623083
2017-01-01,Apurímac,85.00251636
2017-04-01,Apurímac,11.38825901
2017-07-01,Apurímac,7.382550336
2017-10-01,Apurímac,14.46402349
2018-01-01,Apurímac,-10.85418934
2018-04-01,Apurímac,-3.777425922
2018-07-01,Apurímac,-12.01923077
2018-10-01,Apurímac,-4.789394911
2019-01-01,Apurímac,10.80256332
2019-04-01,Apurímac,-6.840620592
2019-07-01,Apurímac,9.644808743
2019-10-01,Apurímac,-7.410734336
2020-01-01,Apurímac,-17.8187827
2020-04-01,Apurímac,-22.50820086
2020-07-01,Apurímac,-8.696735609
2020-10-01,Apurímac,6.791171477
2021-01-01,Apurímac,4.021447721
2021-04-01,Apurímac,36.79583198
2021-07-01,Apurímac,0.38209607
2021-10-01,Apurímac,-21.34908017
2022-01-01,Apurímac,4.510309278
2022-04-01,Apurímac,-31.27826708
2022-07-01,Apurímac,0.897226754
2022-10-01,Apurímac,6.179613052
2023-01-01,Apurímac,-11.62145499
2023-04-01,Apurímac,43.78247316
2023-07-01,Apurímac,-2.694691458
2017-01-01,Arequipa,2.950030102
2017-04-01,Arequipa,3.119584055
2017-07-01,Arequipa,8.498583569
2017-10-01,Arequipa,0.275178866
2018-01-01,Arequipa,1.929824561
2018-04-01,Arequipa,4.817927171
2018-07-01,Arequipa,-0.522193211
2018-10-01,Arequipa,4.171240395
2019-01-01,Arequipa,4.13080895
2019-04-01,Arequipa,-1.549973276
