Trimestre,Tipo,Indicador,Valor
2022-01-01,Contribución,Transporte,-0.316565682
2022-04-01,Contribución,Transporte,-0.889499992
2022-07-01,Contribución,Transporte,-0.529241235
2022-10-01,Contribución,Transporte,-0.529348086
2023-01-01,Contribución,Transporte,0.434994174
2023-04-01,Contribución,Transporte,0.183859389
2023-07-01,Contribución,Transporte,0.061422424
2022-01-01,Contribución,Minería,0.555285042
2022-04-01,Contribución,Minería,0.671650311
2022-07-01,Contribución,Minería,-1.430514062
2022-10-01,Contribución,Minería,-1.794754958
2023-01-01,Contribución,Minería,-2.046040419
2023-04-01,Contribución,Minería,-2.645755901
2023-07-01,Contribución,Minería,-1.231530335
2022-01-01,Contribución,Resto de proyectos no mineros**,1.37867798
2022-04-01,Contribución,Resto de proyectos no mineros**,1.785016973
2022-07-01,Contribución,Resto de proyectos no mineros**,1.421700961
2022-10-01,Contribución,Resto de proyectos no mineros**,-1.769717337
2023-01-01,Contribución,Resto de proyectos no mineros**,-10.4018825
2023-04-01,Contribución,Resto de proyectos no mineros**,-6.062955011
2023-07-01,Contribución,Resto de proyectos no mineros**,-5.071430664
2022-01-01,Crecimiento,Total,1.61739734
2022-04-01,Crecimiento,Total,1.567167292
2022-07-01,Crecimiento,Total,-0.538054336
2022-10-01,Crecimiento,Total,-4.093820381
2023-01-01,Crecimiento,Total,-12.01292875
2023-04-01,Crecimiento,Total,-8.524851522
2023-07-01,Crecimiento,Total,-6.241538576
