Trimestre,Tipo,Zona,Valor
2022-01-01,Contribución,Norte,-1.748935903
2022-04-01,Contribución,Norte,-0.501109749
2022-07-01,Contribución,Norte,-1.479854014
2022-10-01,Contribución,Norte,-1.381416616
2023-01-01,Contribución,Norte,-4.640954108
2023-04-01,Contribución,Norte,-4.502280775
2023-07-01,Contribución,Norte,-2.964058667
2022-01-01,Contribución,Centro,4.690886052
2022-04-01,Contribución,Centro,6.83616512
2022-07-01,Contribución,Centro,2.592334041
2022-10-01,Contribución,Centro,0.493098183
2023-01-01,Contribución,Centro,-2.580023124
2023-04-01,Contribución,Centro,-5.240719098
2023-07-01,Contribución,Centro,-4.822350434
2022-01-01,Contribución,Sur,2.097102013
2022-04-01,Contribución,Sur,2.577450976
2022-07-01,Contribución,Sur,0.811137408
2022-10-01,Contribución,Sur,-0.994099827
2023-01-01,Contribución,Sur,-5.753657628
2023-04-01,Contribución,Sur,-2.637852152
2023-07-01,Contribución,Sur,-2.088067779
2022-01-01,Contribución,Otros,-2.245733132
2022-04-01,Contribución,Otros,-3.708108784
2022-07-01,Contribución,Otros,-3.464289708
2022-10-01,Contribución,Otros,-3.624955641
2023-01-01,Contribución,Otros,-2.061115374
2023-04-01,Contribución,Otros,-0.68550343
2023-07-01,Contribución,Otros,1.158004942
2022-01-01,Variación,Total,2.793319031
2022-04-01,Variación,Total,5.204397562
2022-07-01,Variación,Total,-1.540672274
2022-10-01,Variación,Total,-5.507373901
2023-01-01,Variación,Total,-15.03575023
2023-04-01,Variación,Total,-13.06635545
2023-07-01,Variación,Total,-8.716471939
