Mes,Tipo,Indicador,Valor
2023-01-01,Contribución,Resto de ingresos del Estado,-3.827980404
2023-02-01,Contribución,Resto de ingresos del Estado,0.88600892
2023-03-01,Contribución,Resto de ingresos del Estado,-14.95249147
2023-04-01,Contribución,Resto de ingresos del Estado,-24.49518926
2023-05-01,Contribución,Resto de ingresos del Estado,-10.08776697
2023-06-01,Contribución,Resto de ingresos del Estado,-11.95590671
2023-07-01,Contribución,Resto de ingresos del Estado,-10.0824245
2023-08-01,Contribución,Resto de ingresos del Estado,-11.81118091
2023-09-01,Contribución,Resto de ingresos del Estado,-16.82820117
2023-10-01,Contribución,Resto de ingresos del Estado,-7.542790609
2023-11-01,Contribución,Resto de ingresos del Estado,-1.890053523
2023-01-01,Contribución,Adelanto de utilidades del BN,0
2023-02-01,Contribución,Adelanto de utilidades del BN,0
2023-03-01,Contribución,Adelanto de utilidades del BN,0
2023-04-01,Contribución,Adelanto de utilidades del BN,0
2023-05-01,Contribución,Adelanto de utilidades del BN,0
2023-06-01,Contribución,Adelanto de utilidades del BN,0
2023-07-01,Contribución,Adelanto de utilidades del BN,0
2023-08-01,Contribución,Adelanto de utilidades del BN,0
2023-09-01,Contribución,Adelanto de utilidades del BN,0
2023-10-01,Contribución,Adelanto de utilidades del BN,0
2023-11-01,Contribución,Adelanto de utilidades del BN,5.984211805
2023-01-01,Crecimiento,Total,-3.827980404
2023-02-01,Crecimiento,Total,0.88600892
2023-03-01,Crecimiento,Total,-14.95249147
2023-04-01,Crecimiento,Total,-24.49518926
2023-05-01,Crecimiento,Total,-10.08776697
2023-06-01,Crecimiento,Total,-11.95590671
2023-07-01,Crecimiento,Total,-10.0824245
2023-08-01,Crecimiento,Total,-11.81118091
2023-09-01,Crecimiento,Total,-16.82820117
2023-10-01,Crecimiento,Total,-7.542790609
2023-11-01,Crecimiento,Total,4.094158283
