Trimestre,Inversión privada,Confianza empresarial
2004-01-01,10.07524052,56.08816545
2004-04-01,8.780612799,56.76766973
2004-07-01,3.600866512,60.46036903
2004-10-01,10.22047159,63.11135746
2005-01-01,4.212994446,62.74809707
2005-04-01,9.375783395,63.85229148
2005-07-01,13.64793814,65.41474725
2005-10-01,20.28246878,61.4559904
2006-01-01,27.80008015,54.20623242
2006-04-01,18.9660746,60.03301025
2006-07-01,15.37119299,68.7660702
2006-10-01,18.91689375,71.69528375
2007-01-01,13.36045932,72.50905036
2007-04-01,23.31799644,72.59108081
2007-07-01,30.60211813,69.69829785
2007-10-01,25.6729807,72.75105834
2008-01-01,22.65184005,69.33333333
2008-04-01,32.21656765,71.33333333
2008-07-01,27.49678091,61.33333333
2008-10-01,14.63596036,41
2009-01-01,-0.393728421,35.33333333
2009-04-01,-15.97475784,47.66666667
2009-07-01,-12.82314207,59
2009-10-01,-5.14316881,67.33333333
2010-01-01,15.41801713,71.45939986
2010-04-01,30.2603498,72.99189132
2010-07-01,29.20769749,70.863842
2010-10-01,27.97880386,69.42730167
2011-01-01,14.53487082,65.25583431
2011-04-01,12.2081706,47.24061374
2011-07-01,8.821709411,51.50518051
2011-10-01,9.054058574,57.27011721
2012-01-01,15.76312453,60.12816474
2012-04-01,17.30156462,60.67647804
2012-07-01,14.91994787,58.69116315
2012-10-01,14.70087518,64.13396542
2013-01-01,12.21201301,65.84691636
2013-04-01,10.5964573,54.94704422
2013-07-01,4.948075528,50.38872742
2013-10-01,1.591537202,55.761862
2014-01-01,-1.056728101,57.77422186
2014-04-01,-1.562014254,52.26427614
2014-07-01,-4.162950817,51.01208602
2014-10-01,-1.275025895,53.78204473
2015-01-01,-3.732375939,51.25936094
2015-04-01,-8.167558084,47.47921072
2015-07-01,-3.773505084,44.05462957
2015-10-01,-1.665755955,44.7943617
2016-01-01,-3.868928718,45.19630551
2016-04-01,-4.474807902,53.98600631
2016-07-01,-7.895591772,61.76640621
2016-10-01,-3.944782199,58.81179604
2017-01-01,-5.930841072,51.70081393
2017-04-01,-3.615109341,53.59268581
2017-07-01,5.318172906,57.0672404
2017-10-01,4.189797982,60.13593419
2018-01-01,5.754320186,55.67045085
2018-04-01,8.766868017,58.70022329
2018-07-01,1.545324043,57.54256694
2018-10-01,1.121268065,55.37863795
2019-01-01,2.906324696,58.73908615
2019-04-01,5.602949654,52.87198385
2019-07-01,9.099149388,47.04918798
2019-10-01,0.72366039,49.15785217
2020-01-01,-14.41127021,40.97445679
2020-04-01,-57.03871577,17.41875362
2020-07-01,-7.496955447,39.82588358
2020-10-01,11.224775,50.82271566
2021-01-01,17.37598365,45.52553003
2021-04-01,12.87017179,41.34252792
2021-07-01,13.30558609,37.16562534
2021-10-01,13.96460906,41.28251196
2022-01-01,1.61739734,42.66272243
2022-04-01,1.567167292,35.03017398
2022-07-01,-0.538054336,35.4583562
2022-10-01,-4.093820381,38.67803582
2023-01-01,-12.01292875,38.75955204
2023-04-01,-8.524851522,43.73903194
2023-07-01,-6.241538576,42.98531546
2023-10-01,-2.970769288,38.1449553
2024-01-01,0.3,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
