Mes,País,Valor
2020-01-01,Colombia,57.33
2020-02-01,Colombia,60.17
2020-03-01,Colombia,45.67
2020-04-01,Colombia,29.67
2020-05-01,Colombia,19.30
2020-06-01,Colombia,24.03
2020-07-01,Colombia,33.13
2020-08-01,Colombia,40.73
2020-09-01,Colombia,49.70
2020-10-01,Colombia,51.53
2020-11-01,Colombia,48.80
2020-12-01,Colombia,46.23
2021-01-01,Colombia,48.47
2021-02-01,Colombia,53.43
2021-03-01,Colombia,56.23
2021-04-01,Colombia,53.30
2021-05-01,Colombia,49.50
2021-06-01,Colombia,49.17
2021-07-01,Colombia,56.30
2021-08-01,Colombia,62.57
2021-09-01,Colombia,67.43
2021-10-01,Colombia,66.07
2021-11-01,Colombia,65.93
2021-12-01,Colombia,63.00
2022-01-01,Colombia,63.17
2022-02-01,Colombia,63.27
2022-03-01,Colombia,63.93
2022-04-01,Colombia,63.13
2022-05-01,Colombia,62.77
2022-06-01,Colombia,62.07
2022-07-01,Colombia,61.87
2022-08-01,Colombia,59.43
2022-09-01,Colombia,57.93
2022-10-01,Colombia,54.57
2022-11-01,Colombia,52.23
2022-12-01,Colombia,49.48
2023-01-01,Colombia,50.82
2023-02-01,Colombia,52.20
2023-03-01,Colombia,53.77
2023-04-01,Colombia,50.58
2023-05-01,Colombia,47.78
2023-06-01,Colombia,45.89
2023-07-01,Colombia,47.80
2023-08-01,Colombia,50.43
2023-09-01,Colombia,51.45
2023-10-01,Colombia,50.30
2023-11-01,Colombia,46.70
2020-01-01,Brasil,64.03
2020-02-01,Brasil,64.77
2020-03-01,Brasil,63.43
2020-04-01,Brasil,53.17
2020-05-01,Brasil,43.17
2020-06-01,Brasil,36.8
2020-07-01,Brasil,41.17
2020-08-01,Brasil,48.6
2020-09-01,Brasil,55.4
2020-10-01,Brasil,60.13
2020-11-01,Brasil,62.1
2020-12-01,Brasil,62.6
2021-01-01,Brasil,62.3
2021-02-01,Brasil,61.17
2021-03-01,Brasil,58.27
2021-04-01,Brasil,55.87
2021-05-01,Brasil,55.53
2021-06-01,Brasil,57.97
2021-07-01,Brasil,60.73
2021-08-01,Brasil,62.3
2021-09-01,Brasil,61.07
2021-10-01,Brasil,59.67
2021-11-01,Brasil,57.27
2021-12-01,Brasil,56.83
2022-01-01,Brasil,56.23
2022-02-01,Brasil,56.17
2022-03-01,Brasil,55.73
2022-04-01,Brasil,56
2022-05-01,Brasil,56.23
2022-06-01,Brasil,57.03
2022-07-01,Brasil,57.37
2022-08-01,Brasil,58.47
2022-09-01,Brasil,60.13
2022-10-01,Brasil,60.93
2022-11-01,Brasil,58.23
2022-12-01,Brasil,54.23
2023-01-01,Brasil,50.37
2023-02-01,Brasil,50
2023-03-01,Brasil,49.7
2023-04-01,Brasil,49.77
2023-05-01,Brasil,49.3
2023-06-01,Brasil,49.47
2023-07-01,Brasil,50.23
2023-08-01,Brasil,51.57
2023-09-01,Brasil,52.07
2023-10-01,Brasil,51.87
2023-11-01,Brasil,50.93
2020-01-01,Chile,36.59
2020-02-01,Chile,39.04
2020-03-01,Chile,41.76
2020-04-01,Chile,38.78
2020-05-01,Chile,35.57
2020-06-01,Chile,34.44
2020-07-01,Chile,36.46
2020-08-01,Chile,39.21
2020-09-01,Chile,43.38
2020-10-01,Chile,48
2020-11-01,Chile,51.88
2020-12-01,Chile,51.28
2021-01-01,Chile,52.18
2021-02-01,Chile,52.7
2021-03-01,Chile,55.33
2021-04-01,Chile,54.34
2021-05-01,Chile,54.06
2021-06-01,Chile,53.54
2021-07-01,Chile,55.62
2021-08-01,Chile,57.44
2021-09-01,Chile,59.56
2021-10-01,Chile,59.74
2021-11-01,Chile,55.97
2021-12-01,Chile,51.27
2022-01-01,Chile,49.65
2022-02-01,Chile,50.37
2022-03-01,Chile,50.68
2022-04-01,Chile,48.72
2022-05-01,Chile,47.15
2022-06-01,Chile,45.56
2022-07-01,Chile,42.74
2022-08-01,Chile,40.74
2022-09-01,Chile,40.92
2022-10-01,Chile,40.91
2022-11-01,Chile,41.09
2022-12-01,Chile,38.54
2023-01-01,Chile,39.11
2023-02-01,Chile,39.47
2023-03-01,Chile,41.12
2023-04-01,Chile,41.36
2023-05-01,Chile,41.1
2023-06-01,Chile,40.75
2023-07-01,Chile,40.63
2023-08-01,Chile,41.24
2023-09-01,Chile,42.57
2023-10-01,Chile,43.53
2023-11-01,Chile,43.35
2020-01-01,Colombia,57.33
2020-02-01,Colombia,60.17
2020-03-01,Colombia,45.67
2020-04-01,Colombia,29.67
2020-05-01,Colombia,19.3
2020-06-01,Colombia,24.03
2020-07-01,Colombia,33.13
2020-08-01,Colombia,40.73
2020-09-01,Colombia,49.7
2020-10-01,Colombia,51.53
2020-11-01,Colombia,48.8
2020-12-01,Colombia,46.23
2021-01-01,Colombia,48.47
2021-02-01,Colombia,53.43
2021-03-01,Colombia,56.23
2021-04-01,Colombia,53.3
2021-05-01,Colombia,49.5
2021-06-01,Colombia,49.17
2021-07-01,Colombia,56.3
2021-08-01,Colombia,62.57
2021-09-01,Colombia,67.43
2021-10-01,Colombia,66.07
2021-11-01,Colombia,65.93
2021-12-01,Colombia,63
2022-01-01,Colombia,63.17
2022-02-01,Colombia,63.27
2022-03-01,Colombia,63.93
2022-04-01,Colombia,63.13
2022-05-01,Colombia,62.77
2022-06-01,Colombia,62.07
2022-07-01,Colombia,61.87
2022-08-01,Colombia,59.43
2022-09-01,Colombia,57.93
2022-10-01,Colombia,54.57
2022-11-01,Colombia,52.23
2022-12-01,Colombia,49.48
2023-01-01,Colombia,50.82
2023-02-01,Colombia,52.2
2023-03-01,Colombia,53.77
2023-04-01,Colombia,50.58
2023-05-01,Colombia,47.78
2023-06-01,Colombia,45.89
2023-07-01,Colombia,47.8
2023-08-01,Colombia,50.43
2023-09-01,Colombia,51.45
2023-10-01,Colombia,50.3
2023-11-01,Colombia,46.7
2020-01-01,México,47.91
2020-02-01,México,48.02
2020-03-01,México,46.73
2020-04-01,México,43.17
2020-05-01,México,38.57
2020-06-01,México,36.17
2020-07-01,México,37.18
2020-08-01,México,38.47
2020-09-01,México,39.26
2020-10-01,México,39.67
2020-11-01,México,40.35
2020-12-01,México,41.01
