Fecha Inicial,Fecha Final,Tipo,Total
2017-01-01,2017-06-01,Total,29.5
2017-02-01,2017-07-01,Total,29.7
2017-03-01,2017-08-01,Total,29.6
2017-04-01,2017-09-01,Total,30.2
2017-05-01,2017-10-01,Total,29.4
2017-06-01,2017-11-01,Total,28.8
2017-07-01,2017-12-01,Total,27.5
2017-08-01,2018-01-01,Total,27.1
2017-09-01,2018-02-01,Total,26.9
2017-10-01,2018-03-01,Total,26.5
2017-11-01,2018-04-01,Total,27.2
2017-12-01,2018-05-01,Total,27.2
2018-01-01,2018-06-01,Total,27.8
2018-02-01,2018-07-01,Total,27.6
2018-03-01,2018-08-01,Total,27.3
2018-04-01,2018-09-01,Total,27.2
2018-05-01,2018-10-01,Total,27.1
2018-06-01,2018-11-01,Total,26.8
2018-07-01,2018-12-01,Total,26.7
2018-08-01,2019-01-01,Total,26.6
2018-09-01,2019-02-01,Total,27.3
2018-10-01,2019-03-01,Total,27.6
2018-11-01,2019-04-01,Total,26.6
2018-12-01,2019-05-01,Total,26.8
2019-01-01,2019-06-01,Total,26.6
2019-02-01,2019-07-01,Total,26.5
2019-03-01,2019-08-01,Total,26.1
2019-04-01,2019-09-01,Total,25.7
2019-05-01,2019-10-01,Total,26.5
2019-06-01,2019-11-01,Total,27
2019-07-01,2019-12-01,Total,27.2
2019-08-01,2020-01-01,Total,27.5
2019-09-01,2020-02-01,Total,27.3
2019-10-01,2020-03-01,Total,27.2
2019-11-01,2020-04-01,Total,26.8
2019-12-01,2020-05-01,Total,25.7
2020-01-01,2020-06-01,Total,25.1
2020-02-01,2020-07-01,Total,24.6
2020-03-01,2020-08-01,Total,23.5
2020-04-01,2020-09-01,Total,22.8
2020-05-01,2020-10-01,Total,22.3
2020-06-01,2020-11-01,Total,22.1
2020-07-01,2020-12-01,Total,21.3
2020-08-01,2021-01-01,Total,20.2
2020-09-01,2021-02-01,Total,19.9
2020-10-01,2021-03-01,Total,19.5
2020-11-01,2021-04-01,Total,18.8
2020-12-01,2021-05-01,Total,18.3
2021-01-01,2021-06-01,Total,17.9
2021-02-01,2021-07-01,Total,18
2021-03-01,2021-08-01,Total,18.1
2021-04-01,2021-09-01,Total,18
2021-05-01,2021-10-01,Total,17.7
2021-06-01,2021-11-01,Total,17.7
2021-07-01,2021-12-01,Total,18.3
2021-08-01,2022-01-01,Total,19.6
2021-09-01,2022-02-01,Total,20.3
2021-10-01,2022-03-01,Total,21.4
2021-11-01,2022-04-01,Total,22.9
2021-12-01,2022-05-01,Total,24.1
2022-01-01,2022-06-01,Total,24.6
2022-02-01,2022-07-01,Total,24.5
2022-03-01,2022-08-01,Total,25.4
2022-04-01,2022-09-01,Total,25.6
2022-05-01,2022-10-01,Total,25.3
2022-06-01,2022-11-01,Total,25.4
2022-07-01,2022-12-01,Total,25.3
2022-08-01,2023-01-01,Total,25.7
2022-09-01,2023-02-01,Total,25.2
2022-10-01,2023-03-01,Total,25
2022-11-01,2023-04-01,Total,25.6
2022-12-01,2023-05-01,Total,26.4
2023-01-01,2023-06-01,Total,26.8
2023-02-01,2023-07-01,Total,27.1
2023-03-01,2023-08-01,Total,27.8
2017-01-01,2017-06-01,Robo o intento de robo,14.2
2017-02-01,2017-07-01,Robo o intento de robo,12.9
2017-03-01,2017-08-01,Robo o intento de robo,12.4
2017-04-01,2017-09-01,Robo o intento de robo,12.6
2017-05-01,2017-10-01,Robo o intento de robo,12.2
2017-06-01,2017-11-01,Robo o intento de robo,12
2017-07-01,2017-12-01,Robo o intento de robo,12.6
2017-08-01,2018-01-01,Robo o intento de robo,13.2
2017-09-01,2018-02-01,Robo o intento de robo,12.8
2017-10-01,2018-03-01,Robo o intento de robo,12.1
2017-11-01,2018-04-01,Robo o intento de robo,13.2
2017-12-01,2018-05-01,Robo o intento de robo,12.7
2018-01-01,2018-06-01,Robo o intento de robo,11.9
2018-02-01,2018-07-01,Robo o intento de robo,11.4
2018-03-01,2018-08-01,Robo o intento de robo,11.5
2018-04-01,2018-09-01,Robo o intento de robo,11.1
2018-05-01,2018-10-01,Robo o intento de robo,10.2
2018-06-01,2018-11-01,Robo o intento de robo,10.4
2018-07-01,2018-12-01,Robo o intento de robo,11
2018-08-01,2019-01-01,Robo o intento de robo,11.4
2018-09-01,2019-02-01,Robo o intento de robo,11.7
2018-10-01,2019-03-01,Robo o intento de robo,12.6
2018-11-01,2019-04-01,Robo o intento de robo,12.9
2018-12-01,2019-05-01,Robo o intento de robo,13.2
2019-01-01,2019-06-01,Robo o intento de robo,13.6
2019-02-01,2019-07-01,Robo o intento de robo,12.8
2019-03-01,2019-08-01,Robo o intento de robo,12.7
2019-04-01,2019-09-01,Robo o intento de robo,11.8
2019-05-01,2019-10-01,Robo o intento de robo,11.8
2019-06-01,2019-11-01,Robo o intento de robo,11.4
2019-07-01,2019-12-01,Robo o intento de robo,10.4
2019-08-01,2020-01-01,Robo o intento de robo,11
2019-09-01,2020-02-01,Robo o intento de robo,11.4
2019-10-01,2020-03-01,Robo o intento de robo,12.1
2019-11-01,2020-04-01,Robo o intento de robo,13.4
2019-12-01,2020-05-01,Robo o intento de robo,14.6
2020-01-01,2020-06-01,Robo o intento de robo,15.2
2020-02-01,2020-07-01,Robo o intento de robo,15.5
2020-03-01,2020-08-01,Robo o intento de robo,15.3
2020-04-01,2020-09-01,Robo o intento de robo,14.9
2020-05-01,2020-10-01,Robo o intento de robo,14
2020-06-01,2020-11-01,Robo o intento de robo,13.4
2020-07-01,2020-12-01,Robo o intento de robo,12.4
2020-08-01,2021-01-01,Robo o intento de robo,11.4
2020-09-01,2021-02-01,Robo o intento de robo,11.3
2020-10-01,2021-03-01,Robo o intento de robo,11.1
2020-11-01,2021-04-01,Robo o intento de robo,11.2
2020-12-01,2021-05-01,Robo o intento de robo,10.4
2021-01-01,2021-06-01,Robo o intento de robo,11.5
2021-02-01,2021-07-01,Robo o intento de robo,11.6
2021-03-01,2021-08-01,Robo o intento de robo,10.8
2021-04-01,2021-09-01,Robo o intento de robo,10.9
2021-05-01,2021-10-01,Robo o intento de robo,10.1
2021-06-01,2021-11-01,Robo o intento de robo,10.2
2021-07-01,2021-12-01,Robo o intento de robo,9.6
2021-08-01,2022-01-01,Robo o intento de robo,10.4
2021-09-01,2022-02-01,Robo o intento de robo,10.5
2021-10-01,2022-03-01,Robo o intento de robo,10.6
2021-11-01,2022-04-01,Robo o intento de robo,12.3
2021-12-01,2022-05-01,Robo o intento de robo,13.3
2022-01-01,2022-06-01,Robo o intento de robo,15
2022-02-01,2022-07-01,Robo o intento de robo,14.2
2022-03-01,2022-08-01,Robo o intento de robo,14.8
2022-04-01,2022-09-01,Robo o intento de robo,15.2
2022-05-01,2022-10-01,Robo o intento de robo,14.5
2022-06-01,2022-11-01,Robo o intento de robo,13.4
2022-07-01,2022-12-01,Robo o intento de robo,13.2
2022-08-01,2023-01-01,Robo o intento de robo,13.6
2022-09-01,2023-02-01,Robo o intento de robo,14.3
2022-10-01,2023-03-01,Robo o intento de robo,15
2022-11-01,2023-04-01,Robo o intento de robo,15.7
2022-12-01,2023-05-01,Robo o intento de robo,17.2
2023-01-01,2023-06-01,Robo o intento de robo,17.3
2023-02-01,2023-07-01,Robo o intento de robo,16.9
