Región,Variación %
Amazonas,-0.267361736
Cajamarca,-0.142618979
La Libertad,0.050959928
Lambayeque,-0.625789334
Piura,-0.186995281
Tumbes,-0.14711148
Áncash,0.111134904
Huancavelica,0.653412841
Huánuco,0.002124138
Ica,-0.096707377
Junín,0.138331918
Lima y Callao,-0.001137754
Pasco,0.058479063
Apurímac,0.235947082
Arequipa,-0.089018543
Ayacucho,0.219886059
Cusco,-0.065451832
Moquegua,-0.397236615
Puno,0.293929211
Tacna,0.128940731
Loreto,0.004538425
Madre de Dios,-0.002285131
San MartÍn,-0.041254067
Ucayali,-0.358926518
