Año,Mes,Promedio,Inferior,Superior
1,1,-0.094301994,-0.155840456,-0.032763533
1,2,-0.144444444,-0.24017094,-0.048717949
1,3,-0.180911681,-0.308547009,-0.053276353
1,4,-0.196866097,-0.339316239,-0.054415954
1,5,-0.224216524,-0.35982906,-0.088603989
1,6,-0.253846154,-0.38034188,-0.127350427
1,7,-0.237891738,-0.35982906,-0.115954416
1,8,-0.194586895,-0.305128205,-0.084045584
1,9,-0.146723647,-0.239031339,-0.054415954
1,10,-0.103418803,-0.216239316,0.009401709
1,11,-0.130769231,-0.257264957,-0.004273504
1,12,-0.121652422,-0.253846154,0.010541311
2,1,-0.105698006,-0.227635328,0.016239316
2,2,-0.101139601,-0.207122507,0.004843305
2,3,-0.03960114,-0.135327635,0.056125356
2,4,-0.03048433,-0.131908832,0.070940171
2,5,-0.028205128,-0.13988604,0.083475783
2,6,-0.037321937,-0.149002849,0.074358974
2,7,-0.007692308,-0.117094017,0.101709402
2,8,0.024216524,-0.084045584,0.132478632
2,9,0.037891738,-0.07037037,0.146153846
2,10,0.072079772,-0.035042735,0.179202279
2,11,0.097150997,-0.006552707,0.200854701
2,12,0.094871795,0.002564103,0.187179487
