Mes,Tipo,Valor
2021-01-01,Total,-9.108378407
2021-02-01,Total,-12.12713701
2021-03-01,Total,-7.23064386
2021-04-01,Total,26.87350708
2021-05-01,Total,61.41423667
2021-06-01,Total,25.25010314
2021-07-01,Total,19.02792993
2021-08-01,Total,65.39725921
2021-09-01,Total,62.9422468
2021-10-01,Total,23.04878134
2021-11-01,Total,24.92406128
2021-12-01,Total,19.79946268
2022-01-01,Total,1.904997385
2022-02-01,Total,5.659433922
2022-03-01,Total,9.581792928
2022-04-01,Total,10.28089254
2022-05-01,Total,6.222793728
2022-06-01,Total,-5.045353957
2022-07-01,Total,-3.085775056
2022-08-01,Total,-13.8228929
2022-09-01,Total,-17.94820466
2022-10-01,Total,-12.48083725
2022-11-01,Total,-9.475163298
2022-12-01,Total,-13.85156857
2023-01-01,Total,-9.676957664
2023-02-01,Total,-25.27724575
2023-03-01,Total,-30.46937638
2023-04-01,Total,-21.6755037
2023-05-01,Total,-25.34529737
2023-06-01,Total,-19.12844821
2023-07-01,Total,-26.519027
2023-08-01,Total,-15.64483741
2023-09-01,Total,7.88808759
2023-10-01,Total,-5.948055143
2023-11-01,Total,-6.057655591
2023-12-01,Total,-5.08196682
2021-01-01,Sin Quellaveco,-13.66360441
2021-02-01,Sin Quellaveco,-17.62990671
2021-03-01,Sin Quellaveco,4.181758354
2021-04-01,Sin Quellaveco,86.7365039
2021-05-01,Sin Quellaveco,112.1802558
2021-06-01,Sin Quellaveco,77.0264179
2021-07-01,Sin Quellaveco,56.24889535
2021-08-01,Sin Quellaveco,74.2720931
2021-09-01,Sin Quellaveco,63.03312995
2021-10-01,Sin Quellaveco,29.35953633
2021-11-01,Sin Quellaveco,16.6714483
2021-12-01,Sin Quellaveco,13.72625317
2022-01-01,Sin Quellaveco,-9.347883201
2022-02-01,Sin Quellaveco,8.899554652
2022-03-01,Sin Quellaveco,-1.806168034
2022-04-01,Sin Quellaveco,11.67155993
2022-05-01,Sin Quellaveco,14.30759953
2022-06-01,Sin Quellaveco,7.264148314
2022-07-01,Sin Quellaveco,9.568707744
2022-08-01,Sin Quellaveco,-8.142950204
2022-09-01,Sin Quellaveco,-9.438923409
2022-10-01,Sin Quellaveco,-3.434008847
2022-11-01,Sin Quellaveco,9.299087395
2022-12-01,Sin Quellaveco,-0.234386684
2023-01-01,Sin Quellaveco,21.94039854
2023-02-01,Sin Quellaveco,-6.829639456
2023-03-01,Sin Quellaveco,-7.611515562
2023-04-01,Sin Quellaveco,-5.292638974
2023-05-01,Sin Quellaveco,-12.55188835
2023-06-01,Sin Quellaveco,-8.267710167
2023-07-01,Sin Quellaveco,-12.24046818
2023-08-01,Sin Quellaveco,-0.678280194
2023-09-01,Sin Quellaveco,-1.219993758
2023-10-01,Sin Quellaveco,6.889345907
2023-11-01,Sin Quellaveco,-3.82408653
2023-12-01,Sin Quellaveco,7.834636475
