Mes,Zona,Valor
2022-01-01,Norte,57.00870202
2022-02-01,Norte,58.21901948
2022-03-01,Norte,58.82438736
2022-04-01,Norte,59.78176758
2022-05-01,Norte,57.42065647
2022-06-01,Norte,55.34502307
2022-07-01,Norte,53.52749433
2022-08-01,Norte,52.2416017
2022-09-01,Norte,52.80246434
2022-10-01,Norte,55.61389046
2022-11-01,Norte,56.19271239
2022-12-01,Norte,57.54898023
2023-01-01,Norte,55.03848004
2023-02-01,Norte,54.38539749
2023-03-01,Norte,53.45466156
2023-04-01,Norte,55.35892431
2023-05-01,Norte,59.67892818
2023-06-01,Norte,62.96395233
2023-07-01,Norte,65.0090471
2023-08-01,Norte,64.66868749
2023-09-01,Norte,65.54521753
2023-10-01,Norte,66.03055786
2023-11-01,Norte,67.37932083
2023-12-01,Norte,68.57416077
2024-01-01,Norte,71.09641987
2022-01-01,Centro,55.91813983
2022-02-01,Centro,57.55947722
2022-03-01,Centro,59.25485594
2022-04-01,Centro,59.07170576
2022-05-01,Centro,57.71858892
2022-06-01,Centro,55.66089136
2022-07-01,Centro,50.71583642
2022-08-01,Centro,49.42375486
2022-09-01,Centro,51.11457611
2022-10-01,Centro,57.38238238
2022-11-01,Centro,60.3821907
2022-12-01,Centro,59.63693325
2023-01-01,Centro,56.9136217
2023-02-01,Centro,53.55054689
2023-03-01,Centro,53.89897895
2023-04-01,Centro,55.85976326
2023-05-01,Centro,58.09990663
2023-06-01,Centro,59.64052287
2023-07-01,Centro,58.63171355
2023-08-01,Centro,57.70578763
2023-09-01,Centro,57.85829308
2023-10-01,Centro,59.54911433
2023-11-01,Centro,61.97076675
2023-12-01,Centro,61.10182089
2024-01-01,Centro,61.9501772
2022-01-01,Sur,59.2483341
2022-02-01,Sur,59.40294139
2022-03-01,Sur,60.18997843
2022-04-01,Sur,59.08976634
2022-05-01,Sur,57.96910755
2022-06-01,Sur,57.11804372
2022-07-01,Sur,57.11804372
2022-08-01,Sur,56.70809027
2022-09-01,Sur,57.64843981
2022-10-01,Sur,58.07114512
2022-11-01,Sur,60.32410816
2022-12-01,Sur,58.73299095
2023-01-01,Sur,56.46026368
2023-02-01,Sur,54.15728063
2023-03-01,Sur,57.98327115
2023-04-01,Sur,61.35418964
2023-05-01,Sur,63.595086
2023-06-01,Sur,63.92049963
2023-07-01,Sur,64.72289321
2023-08-01,Sur,66.44083845
2023-09-01,Sur,66.74724064
2023-10-01,Sur,67.12840188
2023-11-01,Sur,67.12840188
2023-12-01,Sur,64.30665522
2024-01-01,Sur,65.34469239
2022-01-01,Oriente,
2022-02-01,Oriente,
2022-03-01,Oriente,
2022-04-01,Oriente,
2022-05-01,Oriente,
2022-06-01,Oriente,
2022-07-01,Oriente,
2022-08-01,Oriente,
2022-09-01,Oriente,
2022-10-01,Oriente,
2022-11-01,Oriente,
2022-12-01,Oriente,
2023-01-01,Oriente,
2023-02-01,Oriente,
2023-03-01,Oriente,
2023-04-01,Oriente,
2023-05-01,Oriente,
2023-06-01,Oriente,
2023-07-01,Oriente,
2023-08-01,Oriente,
2023-09-01,Oriente,49.53333333
2023-10-01,Oriente,44.13333333
2023-11-01,Oriente,49.86666667
2023-12-01,Oriente,54.86666667
2024-01-01,Oriente,55.86666667
