Mes,Gasto en remuneraciones,Déficit fiscal
2022-01-01,6.168972088,2.438615104
2022-02-01,6.137097229,2.216471245
2022-03-01,6.121584134,1.556329377
2022-04-01,6.090267119,1.033854432
2022-05-01,6.082683659,0.960856679
2022-06-01,6.079585965,0.97988751
2022-07-01,6.096345851,1.120646784
2022-08-01,6.102833149,1.538995396
2022-09-01,6.070079535,1.18185165
2022-10-01,6.064214002,1.224120842
2022-11-01,6.078602133,1.653962975
2022-12-01,5.926028245,1.701650741
2023-01-01,5.97423053,1.815347652
2023-02-01,6.056233915,1.86095397
2023-03-01,6.035097468,2.066035504
2023-04-01,6.039526289,2.356636537
2023-05-01,6.040503563,2.283956074
2023-06-01,6.122319882,2.515211495
2023-07-01,6.142829925,2.509986726
2023-08-01,6.139774799,2.638538162
2023-09-01,6.155237603,2.796502414
2023-10-01,6.16763755,2.75840463
2023-11-01,6.219661555,2.645994343
2023-12-01,6.238911333,2.755696525
2024-01-01,6.294883531,2.71028261
