Año,Déficit fiscal,Valor
2001,Base,17.92737618
2002,Base,18.09151086
2003,Base,18.34712623
2004,Base,18.3847059
2005,Base,19.45682293
2006,Base,21.04678426
2007,Base,21.76005461
2008,Base,22.17004629
2009,Base,19.81855051
2010,Base,20.84053571
2011,Base,21.75199749
2012,Base,22.32019357
2013,Base,22.09462044
2014,Base,22.23809137
2015,Base,20.10848903
2016,Base,18.55464005
2017,Base,17.96408038
2018,Base,19.1176834
2019,Base,19.57761639
2020,Base,17.74123312
2021,Base,20.94666799
2022,Base,22.05003906
2023,Base,19.76161754
2024,Base,19.71062329
2023,Optimista,19.76161754
2024,Optimista,20.27448353
2023,Crecimiento de la regla fiscal,19.76161754
2024,Crecimiento de la regla fiscal,20.55959401
