Región,Hombre,Mujer,Promedio,Diferencia,Brecha,Inversa
Amazonas,1319.4282,1086.0701,1240.3594,233.3581,17.6863053,0.823136947
Áncash,1535.6952,1237.2327,1427.4514,298.4625,19.435009,0.80564991
Apurímac,1362.927,1156.1656,1283.9541,206.7614,15.1703943,0.848296057
Arequipa,2290.7696,1578.6416,1994.9165,712.128,31.0868452,0.689131548
Ayacucho,1329.4076,1070.3716,1228.5464,259.036,19.4850699,0.805149301
Cajamarca,1284.5738,941.7156,1148.8421,342.8582,26.6904245,0.733095755
Cusco,1559.0325,1222.625,1416.0456,336.4075,21.5779658,0.784220342
Huancavelica,1254.8913,862.5897,1096.9933,392.3016,31.2617993,0.687382007
Huánuco,1521.4631,1227.8214,1399.2775,293.6417,19.2999554,0.807000446
Ica,2096.7963,1543.9207,1866.6252,552.8756,26.3676352,0.736323648
Junín,1564.9068,1036.2981,1331.0594,528.6087,33.7789254,0.662210746
La Libertad,1816.5275,1250.931,1564.4038,565.5965,31.1361375,0.688638625
Lambayeque,1678.8932,1222.2187,1476.7387,456.6745,27.2009262,0.727990738
Lima Metropolitana y Callao,2430.2866,1797.4113,2141.133,632.8753,26.0411797,0.739588203
Loreto,1512.5293,1280.8039,1427.1485,231.7254,15.3203908,0.846796092
Madre de Dios,1913.0691,1543.4239,1783.9046,369.6452,19.3221039,0.806778961
Moquegua,2122.7361,1367.7625,1829.6693,754.9736,35.5660602,0.644339398
Pasco,1555.071,1001.7228,1351.2848,553.3482,35.5834685,0.644165315
Piura,1558.9458,1130.1787,1386.4372,428.7671,27.5036566,0.724963434
Puno,1159.8878,811.479,999.5076,348.4088,30.0381468,0.699618532
San Martín,1456.5024,1208.4254,1370.4624,248.077,17.0323784,0.829676216
Tacna,1695.5584,1364.4681,1555.3718,331.0903,19.5269181,0.804730819
Tumbes,1586.2322,1245.8156,1466.9114,340.4166,21.4607042,0.785392958
Ucayali,1505.6771,1345.2444,1449.2149,160.4327,10.6551863,0.893448137
Lima Provincias,1802.9942,1162.2096,1528.0081,640.7846,35.5400256,0.644599744
Total,1873.4735,1405.0851,1674.3678,468.3884,25.0010689,0.749989311
