Trimestre,Inversión minera,Producción de cobre
2004-01-01,858.9612987,663.835
2004-04-01,842.2423262,712.637
2004-07-01,1005.407476,766.373
2004-10-01,1121.008308,812.853
2005-01-01,1199.426543,813.543
2005-04-01,1585.204547,797.012
2005-07-01,2119.101882,791.212
2005-10-01,2816.896121,790.199
2006-01-01,3604.633798,801.657
2006-04-01,4035.461919,812.136
2006-07-01,4133.943116,814.791
2006-10-01,4179.397237,818.492
2007-01-01,3776.96799,826.8443459
2007-04-01,3441.348995,856.7465809
2007-07-01,3205.903318,910.0014814
2007-10-01,2846.196902,952.8378967
2008-01-01,2962.581311,979.4043197
2008-04-01,3096.548755,1009.35788
2008-07-01,3302.718159,1022.058351
2008-10-01,3570.63561,1036.721521
2009-01-01,3511.033256,1051.719386
2009-04-01,4640.405553,1054.78933
2009-07-01,5340.706195,1045.897349
2009-10-01,6436.988543,1042.02303
2010-01-01,7384.040957,1031.625538
2010-04-01,7635.7766,1028.604929
2010-07-01,8229.861149,1024.130381
2010-10-01,8890.280565,1023.968545
2011-01-01,9708.024366,1031.658158
2011-04-01,11665.29851,1007.811361
2011-07-01,13394.25595,1013.882444
2011-10-01,16434.52061,1024.756744
2012-01-01,17354.09834,1028.117845
2012-04-01,17768.26988,1063.738126
2012-07-01,18816.95738,1096.663884
2012-10-01,18568.94089,1120.758835
2013-01-01,19285.12258,1124.309356
2013-04-01,20155.49081,1144.516148
2013-07-01,20418.69419,1184.414622
2013-10-01,22046.73767,1203.796339
2014-01-01,22724.35993,1248.522463
2014-04-01,22135.02533,1260.528223
2014-07-01,21682.30527,1230.959214
2014-10-01,20047.33808,1210.838705
2015-01-01,19407.1888,1212.465709
2015-04-01,18678.662,1268.935181
2015-07-01,18485.06006,1377.210988
2015-10-01,17575.75754,1523.304026
2016-01-01,15613.66647,1686.460347
2016-04-01,13515.87966,1880.041106
2016-07-01,10921.74009,2017.904602
2016-10-01,8726.712684,2133.73673
2017-01-01,8148.276698,2181.390675
2017-04-01,8244.04673,2188.072061
2017-07-01,8811.469834,2210.470956
2017-10-01,9849.081112,2230.276557
2018-01-01,10350.52935,2235.173249
2018-04-01,11003.97716,2228.531242
2018-07-01,11571.20503,2215.985463
2018-10-01,12126.82543,2218.686104
2019-01-01,12826.44364,2236.171702
2019-04-01,12902.13019,2235.613187
2019-07-01,13372.66216,2245.42263
2019-10-01,14345.92668,2235.875004
2020-01-01,14089.7393,2168.258629
2020-04-01,13357.29775,2008.410901
2020-07-01,12138.21098,1955.0404
2020-10-01,10676.24779,1952.826934
2021-01-01,10433.74478,1969.315484
2021-04-01,11243.41072,2077.21401
2021-07-01,12395.30274,2123.074551
2021-10-01,13190.33299,2102.349959
2022-01-01,13345.06158,2116.778753
2022-04-01,13535.37245,2102.665768
2022-07-01,13110.11912,2110.398333
2022-10-01,12540.28702,2193.709917
2023-01-01,11954.48547,2249.046541
2023-04-01,11150.70778,2393.31661
2023-07-01,10757.90116,2442.731077
2023-10-01,10535.04678,2475.328832
