Sector,Peeriodo,Valor
Agropecuario,2019,100
Pesca,2019,100
Minería,2019,100
Manufactura,2019,100
Comercio,2019,100
Servicios,2019,100
Total,2019,100
Agropecuario,2020-2021,108.5539715
Pesca,2020-2021,96.2745098
Minería,2020-2021,102.5248344
Manufactura,2020-2021,96.06334041
Comercio,2020-2021,97.57036644
Servicios,2020-2021,91.33321569
Total,2020-2021,95.73348534
Agropecuario,2022-2023,112.5624884
Pesca,2022-2023,94.11764706
Minería,2022-2023,115.0248344
Manufactura,2022-2023,102.3619958
Comercio,2022-2023,108.6563994
Servicios,2022-2023,105.8565315
Total,2022-2023,107.1178005
