Mes,Categoría,Valor
2021-01-01,Total,2.675545384
2021-02-01,Total,2.401342212
2021-03-01,Total,2.598185233
2021-04-01,Total,2.383697724
2021-05-01,Total,2.447459026
2021-06-01,Total,3.254606671
2021-07-01,Total,3.814599065
2021-08-01,Total,4.952804596
2021-09-01,Total,5.229574554
2021-10-01,Total,5.826009926
2021-11-01,Total,5.655147847
2021-12-01,Total,6.430387163
2022-01-01,Total,5.684916594
2022-02-01,Total,6.147044222
2022-03-01,Total,6.824089007
2022-04-01,Total,7.964652773
2022-05-01,Total,8.091138932
2022-06-01,Total,8.812632944
2022-07-01,Total,8.740834915
2022-08-01,Total,8.397988303
2022-09-01,Total,8.529852536
2022-10-01,Total,8.275194627
2022-11-01,Total,8.447229802
2022-12-01,Total,8.459162
2023-01-01,Total,8.664267001
2023-02-01,Total,8.64592356
2023-03-01,Total,8.400574009
2023-04-01,Total,7.965045831
2023-05-01,Total,7.893885648
2023-06-01,Total,6.461496992
2023-07-01,Total,5.881601456
2023-08-01,Total,5.576147203
2023-09-01,Total,5.044545948
2023-10-01,Total,4.343081323
2023-11-01,Total,3.636475122
2023-12-01,Total,3.237382564
2024-01-01,Total,3.023921748
2024-02-01,Total,3.29406696
2024-03-01,Total,2.951827554
2021-01-01,Alimentos,3.647882873
2021-02-01,Alimentos,2.709591319
2021-03-01,Alimentos,2.662515785
2021-04-01,Alimentos,1.998536791
2021-05-01,Alimentos,2.063083627
2021-06-01,Alimentos,3.664199204
2021-07-01,Alimentos,4.182209977
2021-08-01,Alimentos,6.104404271
2021-09-01,Alimentos,6.880187726
2021-10-01,Alimentos,7.535420878
2021-11-01,Alimentos,6.701315835
2021-12-01,Alimentos,7.971768239
2022-01-01,Alimentos,6.832301621
2022-02-01,Alimentos,7.895462599
2022-03-01,Alimentos,9.170789506
2022-04-01,Alimentos,11.7804466
2022-05-01,Alimentos,11.12873169
2022-06-01,Alimentos,11.90807673
2022-07-01,Alimentos,11.59006739
2022-08-01,Alimentos,11.44227413
2022-09-01,Alimentos,11.6804724
2022-10-01,Alimentos,11.26329211
2022-11-01,Alimentos,11.97288113
2022-12-01,Alimentos,12.64387792
2023-01-01,Alimentos,12.92568896
2023-02-01,Alimentos,13.16374737
2023-03-01,Alimentos,12.80613362
2023-04-01,Alimentos,12.14683799
2023-05-01,Alimentos,13.07141233
2023-06-01,Alimentos,10.92305933
2023-07-01,Alimentos,10.30512882
2023-08-01,Alimentos,9.676247777
2023-09-01,Alimentos,8.29161843
2023-10-01,Alimentos,7.009034008
2023-11-01,Alimentos,5.600994897
2023-12-01,Alimentos,4.804398244
2024-01-01,Alimentos,4.279337528
2024-02-01,Alimentos,4.443157372
2024-03-01,Alimentos,3.562004112
2021-01-01,Energía,4.205148803
2021-02-01,Energía,6.863085844
2021-03-01,Energía,8.522173645
2021-04-01,Energía,10.06102708
2021-05-01,Energía,10.19844922
2021-06-01,Energía,11.87409298
2021-07-01,Energía,14.84111974
2021-08-01,Energía,18.91090262
2021-09-01,Energía,17.37410365
2021-10-01,Energía,21.21567436
2021-11-01,Energía,22.24925829
2021-12-01,Energía,23.17252573
2022-01-01,Energía,19.72910041
2022-02-01,Energía,19.17280793
2022-03-01,Energía,20.62883521
2022-04-01,Energía,19.07868578
2022-05-01,Energía,21.57269377
2022-06-01,Energía,22.6816189
2022-07-01,Energía,19.5713933
2022-08-01,Energía,15.13226798
2022-09-01,Energía,13.14174734
2022-10-01,Energía,9.85892479
2022-11-01,Energía,9.328020523
2022-12-01,Energía,6.770578549
2023-01-01,Energía,5.952060535
2023-02-01,Energía,2.718198735
2023-03-01,Energía,-0.30119604
2023-04-01,Energía,-1.198050321
2023-05-01,Energía,-4.129834896
2023-06-01,Energía,-7.261333994
2023-07-01,Energía,-8.941386636
2023-08-01,Energía,-9.560708347
2023-09-01,Energía,-6.909155644
2023-10-01,Energía,-7.205683237
2023-11-01,Energía,-7.145623715
2023-12-01,Energía,-6.789983568
2024-01-01,Energía,-6.348170722
2024-02-01,Energía,-5.017527364
2024-03-01,Energía,-3.704729388
