Mes,Indicador,Valor
2004-03-01,Tasa de referencia,2.5
2004-06-01,Tasa de referencia,2.5
2004-09-01,Tasa de referencia,2.75
2004-12-01,Tasa de referencia,3
2005-03-01,Tasa de referencia,3
2005-06-01,Tasa de referencia,3
2005-09-01,Tasa de referencia,3
2005-12-01,Tasa de referencia,3.25
2006-03-01,Tasa de referencia,4
2006-06-01,Tasa de referencia,4.5
2006-09-01,Tasa de referencia,4.5
2006-12-01,Tasa de referencia,4.5
2007-03-01,Tasa de referencia,4.5
2007-06-01,Tasa de referencia,4.5
2007-09-01,Tasa de referencia,5
2007-12-01,Tasa de referencia,5
2008-03-01,Tasa de referencia,5.25
2008-06-01,Tasa de referencia,5.75
2008-09-01,Tasa de referencia,6.5
2008-12-01,Tasa de referencia,6.5
2009-03-01,Tasa de referencia,6
2009-06-01,Tasa de referencia,3
2009-09-01,Tasa de referencia,1.25
2009-12-01,Tasa de referencia,1.25
2010-03-01,Tasa de referencia,1.25
2010-06-01,Tasa de referencia,1.75
2010-09-01,Tasa de referencia,3
2010-12-01,Tasa de referencia,3
2011-03-01,Tasa de referencia,3.75
2011-06-01,Tasa de referencia,4.25
2011-09-01,Tasa de referencia,4.25
2011-12-01,Tasa de referencia,4.25
2012-03-01,Tasa de referencia,4.25
2012-06-01,Tasa de referencia,4.25
2012-09-01,Tasa de referencia,4.25
2012-12-01,Tasa de referencia,4.25
2013-03-01,Tasa de referencia,4.25
2013-06-01,Tasa de referencia,4.25
2013-09-01,Tasa de referencia,4.25
2013-12-01,Tasa de referencia,4
2014-03-01,Tasa de referencia,4
2014-06-01,Tasa de referencia,4
2014-09-01,Tasa de referencia,3.5
2014-12-01,Tasa de referencia,3.5
2015-03-01,Tasa de referencia,3.25
2015-06-01,Tasa de referencia,3.25
2015-09-01,Tasa de referencia,3.5
2015-12-01,Tasa de referencia,3.75
2016-03-01,Tasa de referencia,4.25
2016-06-01,Tasa de referencia,4.25
2016-09-01,Tasa de referencia,4.25
2016-12-01,Tasa de referencia,4.25
2017-03-01,Tasa de referencia,4.25
2017-06-01,Tasa de referencia,4
2017-09-01,Tasa de referencia,3.5
2017-12-01,Tasa de referencia,3.25
2018-03-01,Tasa de referencia,2.75
2018-06-01,Tasa de referencia,2.75
2018-09-01,Tasa de referencia,2.75
2018-12-01,Tasa de referencia,2.75
2019-03-01,Tasa de referencia,2.75
2019-06-01,Tasa de referencia,2.75
2019-09-01,Tasa de referencia,2.5
2019-12-01,Tasa de referencia,2.25
2020-03-01,Tasa de referencia,1.25
2020-06-01,Tasa de referencia,0.25
2020-09-01,Tasa de referencia,0.25
2020-12-01,Tasa de referencia,0.25
2021-03-01,Tasa de referencia,0.25
2021-06-01,Tasa de referencia,0.25
2021-09-01,Tasa de referencia,1
2021-12-01,Tasa de referencia,2.5
2022-03-01,Tasa de referencia,4
2022-06-01,Tasa de referencia,5.5
2022-09-01,Tasa de referencia,6.75
2022-12-01,Tasa de referencia,7.5
2023-03-01,Tasa de referencia,7.75
2023-06-01,Tasa de referencia,7.75
2023-09-01,Tasa de referencia,7.5
2023-12-01,Tasa de referencia,6.75
2024-03-01,Tasa de referencia,6.25
2004-03-01,Expectativas a 12 meses,2.575
2004-06-01,Expectativas a 12 meses,2.7
2004-09-01,Expectativas a 12 meses,2.75
2004-12-01,Expectativas a 12 meses,2.5
2005-03-01,Expectativas a 12 meses,2.5
2005-06-01,Expectativas a 12 meses,2.475
2005-09-01,Expectativas a 12 meses,2.375
2005-12-01,Expectativas a 12 meses,2.5
2006-03-01,Expectativas a 12 meses,2.5
2006-06-01,Expectativas a 12 meses,2.55
2006-09-01,Expectativas a 12 meses,2.4
2006-12-01,Expectativas a 12 meses,2.15
2007-03-01,Expectativas a 12 meses,1.85
2007-06-01,Expectativas a 12 meses,1.975
2007-09-01,Expectativas a 12 meses,2.225
2007-12-01,Expectativas a 12 meses,2.85
2008-03-01,Expectativas a 12 meses,3.775
2008-06-01,Expectativas a 12 meses,3.85
2008-09-01,Expectativas a 12 meses,4.575
2008-12-01,Expectativas a 12 meses,3.75
2009-03-01,Expectativas a 12 meses,2.9625
