Año,Ilegal,Legal
2005,163264.4538,2795798.157
2006,197971.8121,3699706.244
2007,438525.5625,3584466.599
2008,674452.5287,4737092.688
2009,1152686.613,5404974.315
2010,1432747.657,6069411.224
2011,1975681.12,7877334.61
2012,2229926.504,8143582.496
2013,1593349.343,6663130.428
2014,1160498.199,5357673.803
2015,1299568.084,5145827.418
2016,1397485.235,5768134.467
2017,2211345.6,5774162.196
2018,2620569.595,5377297.317
2019,2867835.521,5402579.102
2020,2870240.822,4708471.206
2021,4557945.131,5241266.046
2022,4594095.871,5240621.193
2023,4643038.186,5883414.97
2024,7106046.362,7837429.717
2025,11577305.89,11577305.89
