Orden,Presidente,Palabras promedio
1,Manuel Odría,18793.33333
2,Manuel Prado,23730.5
3,Ricardo Pérez,931
4,Nicolás Lindley,3988
5,Fernando Belaúnde (1er),12338.4
6,Juan Velasco,9232.285714
7,Francisco Morales,8191.75
8,Fernando Belaúnde (2do),12194.6
9,Alan García (1er),14259
10,Alberto Fujimori,7600.545455
11,Alejandro Toledo,7649.6
12,Alan García (2do),11389.8
13,Ollanta Humala,7979.2
14,Pedro Pablo Kuczynski,4453.5
15,Martín Vizcarra,11841
16,Pedro Castillo,10238
17,Dina Boluarte,28075
