Trimestre,Inversión privada,Importación de bienes de capital,Consumo de cemento
2023-01-01,-11.35585235,-3.756644604,-15.36377113
2023-04-01,-7.137894931,1.340388644,-13.3698991
2023-07-01,-4.872032001,1.33297622,-8.612604901
2023-10-01,-1.210747595,8.451903491,-9.271636177
2024-01-01,1.251696402,8.309624232,-0.174724751
2024-04-01,0.899617959,7.639666122,-0.012734118
2024-07-01,3.941938704,11.12792954,-0.585024671
2024-10-01,6.542066225,7.581629215,1.586999123
2025-01-01,8.817554351,20.79805224,2.585893949
2025-04-01,7.471180353,14.5440185,4.613468621
