País,Región,Provincia,Distrito,Ubigeo,Población
Chile,Tarapacá,Iquique,Iquique,1101,199587
Chile,Tarapacá,Iquique,Alto Hospicio,1107,142086
Chile,Tarapacá,Del Tamarugal,Pozo Almonte,1401,16878
Chile,Tarapacá,Del Tamarugal,Camiña,1402,1335
Chile,Tarapacá,Del Tamarugal,Colchane,1403,790
Chile,Tarapacá,Del Tamarugal,Huara,1404,2858
Chile,Tarapacá,Del Tamarugal,Pica,1405,6272
Chile,Antofagasta,Antofagasta,Antofagasta,2101,401096
Chile,Antofagasta,Antofagasta,Mejillones,2102,14084
Chile,Antofagasta,Antofagasta,Sierra Gorda,2103,1472
Chile,Antofagasta,Antofagasta,Taltal,2104,12097
Chile,Antofagasta,El Loa,Calama,2201,166334
Chile,Antofagasta,El Loa,Ollagüe,2202,256
Chile,Antofagasta,El Loa,San Pedro de Atacama,2203,9843
Chile,Antofagasta,Tocopilla,Tocopilla,2301,25400
Chile,Antofagasta,Tocopilla,María Elena,2302,4834
Chile,Atacama,Copiapó,Copiapó,3101,168831
Chile,Atacama,Copiapó,Caldera,3102,18805
Chile,Atacama,Copiapó,Tierra Amarilla,3103,11846
Chile,Atacama,Chañaral,Chañaral,3201,12345
Chile,Atacama,Chañaral,Diego de Almagro,3202,11397
Chile,Atacama,Huasco,Vallenar,3301,54222
Chile,Atacama,Huasco,Alto del Carmen,3302,4788
Chile,Atacama,Huasco,Freirina,3303,7577
Chile,Atacama,Huasco,Huasco,3304,9369
Chile,Coquimbo,Elqui,La Serena,4101,250141
Chile,Coquimbo,Elqui,Coquimbo,4102,263719
Chile,Coquimbo,Elqui,Andacollo,4103,11566
Chile,Coquimbo,Elqui,La Higuera,4104,4335
Chile,Coquimbo,Elqui,Paiguano,4105,4649
Chile,Coquimbo,Elqui,Vicuña,4106,28047
Chile,Coquimbo,Choapa,Illapel,4201,32009
Chile,Coquimbo,Choapa,Canela,4202,9639
Chile,Coquimbo,Choapa,Los Vilos,4203,22879
Chile,Coquimbo,Choapa,Salamanca,4204,27823
