Año,Mes,Bolivia,Chile,Colombia,Perú
1955,1,9.35E+01,6.91E+01,,4.65E+00
1955,2,9.57E+01,7.42E+01,,4.66E+00
1955,3,1.20E+02,7.26E+01,,5.15E+00
1955,4,1.03E+02,7.47E+01,,4.76E+00
1955,5,9.58E+01,7.70E+01,,5.16E+00
1955,6,8.03E+01,77.80285814,,5.55E+00
1955,7,7.62E+01,7.34E+01,-0.213561132,4.54E+00
1955,8,6.97E+01,6.60E+01,0.829120315,4.58E+00
1955,9,6.51E+01,7.33E+01,0.86706379,4.52E+00
1955,10,6.97E+01,7.60E+01,-0.083265216,4.35E+00
1955,11,6.10E+01,8.03E+01,0.666235816,4.12E+00
1955,12,6.86E+01,8.38E+01,0.573504472,4.44E+00
1956,1,1.03E+02,8.42E+01,0.10893951,4.88E+00
1956,2,1.28E+02,7.80E+01,0.448135544,4.71E+00
1956,3,1.10E+02,6.95E+01,0.511377878,4.66E+00
1956,4,9.78E+01,5.93E+01,-0.072302231,4.60E+00
1956,5,1.03E+02,5.53E+01,1.177586516,4.65E+00
1956,6,1.18E+02,5.24E+01,1.002010469,4.93E+00
1956,7,1.24E+02,5.31E+01,1.00170444,5.76E+00
1956,8,1.32E+02,5.51E+01,-0.532659515,6.10E+00
1956,9,1.61E+02,5.44E+01,1.426752532,6.45E+00
1956,10,2.26E+02,5.31E+01,0.95614037,6.51E+00
1956,11,2.58E+02,4.40E+01,0.492581155,6.21E+00
1956,12,4.75E+02,3.77E+01,-0.837542873,6.14E+00
1957,1,3.70E+02,3.24E+01,1.24764764,6.48E+00
1957,2,2.69E+02,3.17E+01,0.924887116,6.78E+00
1957,3,2.56E+02,3.34E+01,0.832609091,7.80E+00
1957,4,2.28E+02,3.68E+01,1.58357494,7.82E+00
1957,5,182.962963,3.69E+01,0.549055712,7.37E+00
1957,6,1.52E+02,3.83E+01,3.127497513,7.66E+00
1957,7,1.42E+02,4.09E+01,1.926129217,7.99E+00
1957,8,1.25E+02,3.74E+01,1.703697172,8.65E+00
1957,9,9.68E+01,4.37E+01,-0.422911379,7.70E+00
1957,10,5.93E+01,2.77E+01,0.22002053,6.70E+00
1957,11,4.50E+01,1.98E+01,-1.1130035,6.96E+00
1957,12,-13.76344086,1.72E+01,0.706943421,6.89E+00
1958,1,-1.38E+01,2.13E+01,-0.994972769,6.81E+00
1958,2,-6.308411215,2.48E+01,-1.186286752,7.96E+00
1958,3,-8.22E+00,2.50E+01,-0.185063098,7.21E+00
1958,4,-5.200945626,2.24E+01,32.66324158,7.09E+00
1958,5,2.62E+00,2.30E+01,34.23419165,7.61E+00
1958,6,6.40E+00,2.02E+01,28.67198154,7.83E+00
1958,7,4.80E+00,1.63E+01,29.91681786,8.08E+00
1958,8,9.67E+00,16.15546901,32.69612061,8.54E+00
1958,9,9.07E+00,5.97E+00,32.92567914,8.02E+00
1958,10,1.43E+01,1.59E+01,31.87241832,8.03E+00
1958,11,1.86E+01,2.72E+01,32.85140559,8.97E+00
1958,12,18.7032419,3.25E+01,32.66223328,9.02E+00
1959,1,1.65E+01,3.26E+01,35.15666309,9.05E+00
1959,2,2.17E+01,3.42E+01,34.39695908,7.84E+00
1959,3,1.99E+01,3.67E+01,31.84883047,8.26E+00
