Año,Bolivia,Chile,Colombia,Perú
1955,79.96429994,75.20322745,0.329600598,4.702276124
1956,179.0870617,55.96301947,0.471352436,5.474137108
1957,115.0224215,32.61072727,0.938294635,7.400055022
1958,3.607924922,20.50034307,23.84657678,7.940555542
1959,19.72624799,38.64219295,6.6489987,12.70221477
1960,12.05447209,11.57814222,-0.03469378,8.625551309
1961,7.351837959,7.684203205,16.46385007,6.019650546
1962,5.856044724,13.90547897,7.241716254,6.618455351
1963,-1.095854238,44.23746954,17.10150291,6.023298172
1964,10.61273528,45.98017058,18.35788019,9.853279045
1965,3.053342988,28.8442582,8.901334245,16.36283048
1966,6.48893313,22.87053778,16.50453111,8.888646862
1967,11.175,18.14116832,8.107765492,11.45541016
1968,5.494340754,26.63098498,5.222110835,19.11667421
1969,2.209748472,30.64927265,9.341324176,6.23067818
1970,3.892944039,32.51157535,6.704247315,5.017401529
1971,3.666778187,20.0589395,10.61102282,6.806571877
1972,6.506164074,77.80503668,14.28719932,7.191803773
1973,31.48900067,352.8279769,21.27219764,9.513472282
1974,62.84278933,504.7338927,24.26788056,16.87710482
1975,7.97633873,374.7353541,23.58651063,23.63368147
1976,4.492768059,211.9243736,20.25139134,33.49462148
1977,8.104263976,91.95414129,33.36323852,38.04201699
1978,10.3585343,40.08722039,17.34974613,57.85027867
1979,19.71996829,33.38921097,24.26723935,67.69752563
1980,47.2405708,35.13834379,26.77968285,59.16056462
1981,32.13356935,19.68683788,27.30714772,75.41768205
1982,123.5373888,9.941020524,24.58653565,64.45966111
1983,275.5853276,27.25719672,19.70926001,111.1492814
1984,1281.349048,19.86020784,16.27683361,110.2090233
1985,11749.63436,30.70349324,23.86038537,163.398069
1986,276.3359676,19.4768666,18.91731385,77.92133307
1987,14.57869846,19.88080808,23.32865716,85.846329
1988,16.00189961,14.68435948,28.10208218,666.9553573
1989,15.17392398,17.02794124,25.91671854,3398.271776
1990,17.11967428,26.0364778,29.14501738,7481.691057
1991,21.44380051,21.78441991,30.37428418,409.527953
1992,12.0632287,15.42580328,27.01207264,73.52862469
1993,8.525360644,12.72776141,22.44084517,48.5798086
1994,7.875477614,11.44312436,22.83980291,23.73452974
1995,10.18996426,8.232633546,20.8873453,11.13050385
1996,12.43020657,7.359114663,20.80686278,11.54905149
1997,4.709254085,6.133866515,18.46926813,8.54669441
1998,7.673688693,5.110244133,18.67737284,7.25495958
1999,2.160507991,3.336882862,10.87552114,3.469321402
2000,4.601576214,3.843273473,9.217877095,3.758542074
2001,1.595927704,3.569101134,7.971670273,1.97539092
2002,0.922748117,2.489398331,6.348165154,0.19189942
2003,3.33836303,2.810177259,7.132577185,2.261224974
2004,4.436785976,1.054739332,5.90446033,3.661545755
2005,5.397930446,3.052573943,5.045227345,1.617698556
2006,4.280355197,3.392018991,4.298323797,2.001381535
2007,8.704264144,4.407797905,5.5436101,1.778682562
2008,14.0089761,8.716268548,6.998459007,5.787880832
2009,3.345428299,1.48273812,4.202214004,2.935344727
2010,2.501711595,1.524167833,2.268787481,1.529527307
2011,9.883593571,3.339943787,3.416444287,3.369665486
2012,4.517340208,3.00419704,3.169575618,3.655413909
2013,5.736703981,1.797394381,2.018076816,2.80558677
2014,5.764601533,4.713689449,2.900944885,3.246202751
2015,4.06108101,4.350614241,4.986962524,3.547848764
2016,3.624509592,3.784838955,7.513246065,3.593083895
2017,2.822447334,2.181585975,4.31576468,2.803831823
2018,2.271632635,2.436114488,3.240990013,1.316710548
2019,1.839279984,2.556764611,3.520297438,2.13584582
2020,0.941893709,3.048951957,2.525453615,1.827302652
2021,0.73631347,4.521552946,3.495938181,3.979014595
2022,1.746566492,11.64331978,10.17643545,7.877236012
2023,2.576821657,7.581399532,11.73657689,6.264340642
2024,5.100286448,4.2655653,6.60919004,2.350693919

2025,20.72742699,4.326911419,4.916260955,1.794398204
