País,Fecha,Año,Postulantes,Fuente,Link
Argentina,2023-10-22,2023,5,Dirección Nacional Electoral,https://resultados.mininterior.gob.ar/
Argentina,2019-10-27,2019,6,Dirección Nacional Electoral,https://resultados.mininterior.gob.ar/
Argentina,2015-10-25,2015,6,Dirección Nacional Electoral,https://resultados.mininterior.gob.ar/
Argentina,2011-10-23,2011,7,Dirección Nacional Electoral,https://resultados.mininterior.gob.ar/
Argentina,2007-10-28,2007,14,Ministerio del Interior,https://web.archive.org/web/20220618185643/https://recorriendo.elecciones.gob.ar/presidente2007.html#/3/1
Argentina,2003-04-27,2003,18,Ministerio del Interior,https://web.archive.org/web/20220618185619/https://recorriendo.elecciones.gob.ar/presidente2003.html#/3/1
Bolivia,2025-08-17,2025,8,Órgano Electoral Plurinacional,https://computo.oep.org.bo/
Bolivia,2020-10-18,2020,5,Órgano Electoral Plurinacional,https://atlaselectoral.oep.org.bo/
Bolivia,2019-10-20,2019,9,Órgano Electoral Plurinacional,https://atlaselectoral.oep.org.bo/
Bolivia,2014-10-12,2014,5,Órgano Electoral Plurinacional,https://atlaselectoral.oep.org.bo/
Bolivia,2009-12-06,2009,8,Órgano Electoral Plurinacional,https://atlaselectoral.oep.org.bo/
Bolivia,2005-12-18,2005,8,Órgano Electoral Plurinacional,https://atlaselectoral.oep.org.bo/
Bolivia,2002-06-30,2002,11,Órgano Electoral Plurinacional,https://atlaselectoral.oep.org.bo/
Brasil,2022-10-02,2022,11,Tribunal Superior Electoral,https://international.tse.jus.br/
Brasil,2018-10-07,2018,13,Tribunal Superior Electoral,https://international.tse.jus.br/
Brasil,2014-10-05,2014,11,Tribunal Superior Electoral,https://international.tse.jus.br/
Brasil,2010-10-03,2010,9,Tribunal Superior Electoral,https://international.tse.jus.br/
Brasil,2006-10-01,2006,7,Tribunal Superior Electoral,https://international.tse.jus.br/
Brasil,2002-10-06,2002,6,Tribunal Superior Electoral,https://international.tse.jus.br/
Chile,2025-11-16,2025,8,DW,https://www.dw.com/es/presidenciales-en-chile-elecciones-con-viejos-conocidos/a-73695756
Chile,2021-11-21,2021,7,Servicio Electoral de Chile,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/
Chile,2017-11-19,2017,8,Servicio Electoral de Chile,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/
Chile,2013-11-17,2013,9,Servicio Electoral de Chile,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/
Chile,2009-12-13,2009,4,Servicio Electoral de Chile,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/
Chile,2005-12-11,2005,4,Servicio Electoral de Chile,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/
Chile,1999-12-12,1999,6,Servicio Electoral de Chile,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/
Colombia,2022-05-29,2022,8,Observatorio Electoral,https://observatorio.registraduria.gov.co/views/electoral/historicos-resultados.php
Colombia,2018-05-27,2018,7,Observatorio Electoral,https://observatorio.registraduria.gov.co/views/electoral/historicos-resultados.php
Colombia,2014-05-25,2014,5,Observatorio Electoral,https://observatorio.registraduria.gov.co/views/electoral/historicos-resultados.php
Colombia,2010-05-30,2010,9,Observatorio Electoral,https://observatorio.registraduria.gov.co/views/electoral/historicos-resultados.php
Colombia,2006-05-28,2006,7,Observatorio Electoral,https://observatorio.registraduria.gov.co/views/electoral/historicos-resultados.php
Colombia,2002-05-26,2002,11,Observatorio Electoral,https://observatorio.registraduria.gov.co/views/electoral/historicos-resultados.php
Ecuador,2025-02-09,2025,16,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2023-08-20,2023,8,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2021-02-07,2021,16,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2017-02-19,2017,8,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2013-02-17,2013,8,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2009-04-26,2009,8,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2006-10-15,2006,13,Consejo Nacional Electoral,https://www.cne.gob.ec/
Ecuador,2002-10-20,2002,11,Consejo Nacional Electoral,https://www.cne.gob.ec/
Paraguay,2023-04-30,2023,13,Tribunal Superior de Justicia Electoral ,https://www.datos.gov.py/dataset/candidatos-1998-2023
Paraguay,2018-04-22,2018,10,Tribunal Superior de Justicia Electoral ,https://www.datos.gov.py/dataset/candidatos-1998-2023
Paraguay,2013-04-21,2013,11,Tribunal Superior de Justicia Electoral ,https://www.datos.gov.py/dataset/candidatos-1998-2023
Paraguay,2008-04-20,2008,7,Tribunal Superior de Justicia Electoral ,https://www.datos.gov.py/dataset/candidatos-1998-2023
Paraguay,2003-04-27,2003,9,Tribunal Superior de Justicia Electoral ,https://www.datos.gov.py/dataset/candidatos-1998-2023
Perú,2026-04-12,2026,37,Oficina Nacional de Procesos Electorales,https://portal.jne.gob.pe/portal/Pagina/Nota/18358
Perú,2021-04-11,2021,18,Oficina Nacional de Procesos Electorales,https://www.onpe.gob.pe/elecciones/historico-elecciones/
Perú,2016-04-10,2016,10,Oficina Nacional de Procesos Electorales,https://www.onpe.gob.pe/elecciones/historico-elecciones/
Perú,2011-04-10,2011,10,Oficina Nacional de Procesos Electorales,https://www.onpe.gob.pe/elecciones/historico-elecciones/
Perú,2006-04-09,2006,20,Oficina Nacional de Procesos Electorales,https://www.onpe.gob.pe/elecciones/historico-elecciones/
Perú,2001-04-08,2001,8,Oficina Nacional de Procesos Electorales,https://www.onpe.gob.pe/elecciones/historico-elecciones/
Perú,2000-04-09,2000,9,Oficina Nacional de Procesos Electorales,https://www.onpe.gob.pe/elecciones/historico-elecciones/
Uruguay,2024-10-27,2024,11,Corte Electoral,https://elecciones.corteelectoral.gub.uy/
Uruguay,2019-10-27,2019,11,Corte Electoral,https://elecciones.corteelectoral.gub.uy/
Uruguay,2014-10-26,2014,7,Corte Electoral,https://elecciones.corteelectoral.gub.uy/
Uruguay,2009-10-25,2009,5,Corte Electoral,https://elecciones.corteelectoral.gub.uy/
Uruguay,2004-10-31,2004,8,Corte Electoral,https://elecciones.corteelectoral.gub.uy/
