Fecha,Sector,Variación anual
01/01/2022,PBI Agropecuario,6.681328968
01/04/2022,PBI Agropecuario,11.41553372
01/07/2022,PBI Agropecuario,12.3536522
01/10/2022,PBI Agropecuario,-2.596186151
01/01/2023,PBI Agropecuario,-8.460049015
01/04/2023,PBI Agropecuario,-9.324111853
01/07/2023,PBI Agropecuario,-17.71876763
01/01/2022,PBI Minería e hidrocarburos,3.8
01/04/2022,PBI Minería e hidrocarburos,13.56666667
01/07/2022,PBI Minería e hidrocarburos,-10.43333333
01/10/2022,PBI Minería e hidrocarburos,-1.166666667
01/01/2023,PBI Minería e hidrocarburos,0.633333333
01/04/2023,PBI Minería e hidrocarburos,3.466666667
01/07/2023,PBI Minería e hidrocarburos,16.4
01/01/2022,Arribos a hospedajes,32
01/04/2022,Arribos a hospedajes,40
01/07/2022,Arribos a hospedajes,35
01/10/2022,Arribos a hospedajes,27
01/01/2023,Arribos a hospedajes,-34.12574931
01/04/2023,Arribos a hospedajes,-18.73312783
01/07/2023,Arribos a hospedajes,-6.453578419
